DrugName,GeneTarget,Num,PathwayID,PathwayName
dexamethasone,NR0B1,1,hsa04927,cortisol synthesis and secretion
dexamethasone,ANXA1,0,,
dexamethasone,NOS2,17,hsa00220;hsa00330;hsa01100;hsa04020;hsa04066;hsa04146;hsa04371;hsa04926;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05200;hsa05222,arginine biosynthesis;arginine and proline metabolism;metabolic pathways;calcium signaling pathway;hif-1 signaling pathway;peroxisome;apelin signaling pathway;relaxin signaling pathway;salmonella infection;pertussis;leishmaniasis;chagas disease ;toxoplasmosis;amoebiasis;tuberculosis;pathways in cancer;small cell lung cancer
dexamethasone,NR1I2,0,,
dexamethasone,NR3C1,1,hsa04080,neuroactive ligand-receptor interaction
atorvastatin,HMGCR,4,hsa00900;hsa01100;hsa04152;hsa04976,terpenoid backbone biosynthesis;metabolic pathways;ampk signaling pathway;bile secretion
atorvastatin,DPP4,1,hsa04974,protein digestion and absorption
atorvastatin,AHR,2,hsa04659;hsa04934,th17 cell differentiation;cushing syndrome
atorvastatin,HDAC2,14,hsa04110;hsa04213;hsa04330;hsa04919;hsa05016;hsa05031;hsa05034;hsa05165;hsa05169;hsa05200;hsa05202;hsa05203;hsa05206;hsa05220,cell cycle;longevity regulating pathway - multiple species;notch signaling pathway;thyroid hormone signaling pathway;huntington disease;amphetamine addiction;alcoholism;human papillomavirus infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;micrornas in cancer;chronic myeloid leukemia
atorvastatin,NR1I3,0,,
beta-estradiol,ESR1,8,hsa01522;hsa04915;hsa04917;hsa04919;hsa04961;hsa05200;hsa05205;hsa05224,endocrine resistance;estrogen signaling pathway;prolactin signaling pathway;thyroid hormone signaling pathway;endocrine and other factor-regulated calcium reabsorption;pathways in cancer;proteoglycans in cancer;breast cancer
beta-estradiol,ESR2,6,hsa01522;hsa04915;hsa04917;hsa04929;hsa05200;hsa05224,endocrine resistance;estrogen signaling pathway;prolactin signaling pathway;gnrh secretion;pathways in cancer;breast cancer
beta-estradiol,NR1I2,0,,
beta-estradiol,CHRNA4,3,hsa04080;hsa04725;hsa05033,neuroactive ligand-receptor interaction;cholinergic synapse;nicotine addiction
beta-estradiol,GPER1,3,hsa01522;hsa04915;hsa04929,endocrine resistance;estrogen signaling pathway;gnrh secretion
beta-estradiol,MT-ATP6,0,,
beta-estradiol,BECN1,8,hsa04136;hsa04137;hsa04140;hsa04215;hsa04371;hsa05017;hsa05131;hsa05167,autophagy - other;mitophagy - animal;autophagy - animal;apoptosis - multiple species;apelin signaling pathway;spinocerebellar ataxia;shigellosis;kaposi sarcoma-associated herpesvirus infection
vorinostat,HDAC1,14,hsa04110;hsa04213;hsa04330;hsa04919;hsa05016;hsa05031;hsa05034;hsa05165;hsa05169;hsa05200;hsa05202;hsa05203;hsa05206;hsa05220,cell cycle;longevity regulating pathway - multiple species;notch signaling pathway;thyroid hormone signaling pathway;huntington disease;amphetamine addiction;alcoholism;human papillomavirus infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;micrornas in cancer;chronic myeloid leukemia
