N,Drug.Name,Max.Norm.Ranking,List.ID,Within.Top.20.List.ID,Clusternew,Target.Organism,MeSH,TBC,Chem,Formula,SMILE,MW,LogP_LogS,CT,CTDupl (Sdist=0),CTsim (Sdist<=0.2),Shortlisted,Altname,ALTtarget
1,dexamethasone,1,"Tr1 - Series 1-7, TrC1 - Series 1-7","Tr1 - Series 1-7, TrC1 - Series 1-7, TrC2 - Series 15",1,Human, Anti-inflammatory; Corticosteroid, HMG-CoA reductase Inhibitor, Steroid,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.5,1.93/-3.89,1,,methylprednisolone,,Dexamethasone,
2,atorvastatin,1,Tr2 - Series 15,,21,Human, Anticholesteremic, Cholesterol synthesis Inhibitor, Pyrrole ,C33H35FN2O5,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.6,4.24/-5.95,1,,,,Atorvastatin,
3,beta-estradiol,1,TrC4 - PBMC,,24,Human, Estrogen (MeSH), Estrogen receptor agonist, Steroid,C18H24O2,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,272.4,3.57/-4.11,0,,,,Beta-estradiol,
4,vorinostat,1,Tr3 - BALF,,35,Human, Antineoplastic, Histone deacetylase inhibitor, Anilide,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,264.32,1.88/-3.57,0,,,2,Vorinostat,
5,olanzapine,1,Tr4 - PBMC,,54,Human, Atypical antipsychotic, 5-HT ligand; D2 dopamine receptor ligand; Histamine receptor ligand, Heterocyclic; Benzodiazepine,C17H20N4S,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN (CC4)C,312.4,3.61/-3.52,0,,,,Olanzapine,
6,cyclosporin a,1,TrC3 - BALF,"TrC3 - BALF, TrC1 - Series 1-7",74,Human, Immunosuppressive, Calcineurin inhibitor, Cyclic peptide,C62H111N11O12,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,1202.6,4.12/-5.10,1,,,,Cyclosporin-a,
7,rosiglitazone,1,TrC2 - Series 15,"TrC2 - Series 15, TrC4 - PBMC",89,Human, Hypoglycemic agent, Peroxisome proliferator-activated receptor, Thiazole; Thiazolidinedione,C18H19N3O3S,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,357.4,2.95/-3.97,0,,,,Rosiglitazone,
8,bosutinib,1,GW,,135,Human, Antineoplastic agent, Src tyrosine kinase inhibitor, Aromatic amine; Aniline ,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C #N)OC,530.4,4.87/-4.75,0,,,2,Bosutinib,
9,zinc acetate,1,HPH,,148,Human, Antibacterial agent, , Acetate,C4H6O4Zn,CC(=O)[O-].CC(=O)[O-].[Zn+2],183.5,0.20/-0.57,0,,,,Zinc acetate,
10,benzyl (2-oxopropyl)carbamate,1,HPAV,"HPAV, TaxAV",162,SARS-CoV, , Replicase polyprotein 1ab inhibitor; 3 clpro protease inhibitor, Benzyloxycarbonyl; Ketone,C11H13 NO3,CC(=O)CNC(=O)OCC1=CC=CC=C1,207.23,0.89/-2.72,0,,,1,Benzyl (2-oxopropyl) carbamate,SARS-CoV Replicase Polyprotein 1ab; SARS-CoV 3 clpro protease inhibitor
11,Remdesivir,1,TaxAV,"TaxAV, HPAV",168,SARS-CoV, Antiviral, Adenine nucleotide analogue, Aromatic amine,C27H35N6O8P,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N) O)O)OC4=CC=CC=C4,602.6,2.20/-3.25,1,,,1,Remdesivir,SARS-CoV Replicase Polyprotein 1ab; Ebolavirus RNA-directed RNA polymerase L
12,dasatinib,0.947368421,"Tr1 - Series 1-7, Tr3 - BALF","Tr1 - Series 1-7, Tr3 - BALF",2,Human, Antineoplastic, Src Tyrosine kinase inhibitor," Aromatic amine; Thiazoles, aminopyrimidine",C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4) CCO,488,2.77/-4.58,0,,,2,Dasatinib,
13,mercaptopurine,0.947368421,Tr4 - PBMC,"Tr4 - PBMC, GW",55,Human, Antineoplastic; Immunomodulatory agent; Antimetabolite, Purine analogue; Enzyme inhibitor, Sulfhydryl compound; Aryl thiol; Purine analogue,C5H4N4S,C1=NC2=C(N1)C(=S)N= CN2,152.18,0.056034483,0,,,,Mercaptopurine,
14,"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",0.947368421,HPAV,"HPAV, TaxAV",163,SARS-CoV, Enzyme inhibitor, SARS replicase polyprotein 1a inhibitor, Nitrobenzene; Toluene; Trifluoromethylbenzene; ,C14H7Cl2F3N2O6S,CC1=CC(=C(C=C1Cl)Cl)S(=O)(=O)C2=C(C=C(C=C2 [N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],459.2,3.43/-6.24,0,,,1,D3F,SARS-CoV Replicase Polyprotein 1a
15,raloxifene,0.947368421,TrC1 - Series 1-7,,72,Human, Antineoplastic; Bone Density Conservation agent, Hormone;Selective estrogen receptor modulator; Estrogen antagonist, Aromatic cyclic amino compound; Benzylidene.,C28H27NO4S,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C (C=C5)O,473.6,5.45/-5.97,0,,,,Raloxifene,
16,cytarabine,0.947368421,TrC3 - BALF,,107,Human, Antineoplastic; Immunosuppressive; Antimetabolite; Antiviral, Pyrimidine analogue; Tyrosine protein kinase Src inhibitor; protease inhibitor, Heterocycle; Pyrimidine; Arabinonucleoside,C9H13N3O5,C1=CN(C(=O)N=C1N)C2C (C(C(O2)CO)O)O,243.22,2.945945946,0,,,2,Cytarabine,
17,imatinib,0.947368421,TrC4 - PBMC,,120,Human, Antineoplastic, Tyrosine kinase inhibitor, Benzamides; Aromatic amine,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4) C5=CN=CC=C5,493.6,3.47/-4.53,1,,,2,Imatinib,
