ID	name	type	state	intNum	group	affected_organism
DB00001	Lepirudin	biotech	liquid	646	approved	Humans and other mammals
DB00002	Cetuximab	biotech	liquid	333	approved	Humans and other mammals
DB00003	Dornase alfa	biotech	liquid	0	approved	Humans and other mammals
DB00004	Denileukin diftitox	biotech	liquid	4	approved	Humans and other mammals
DB00005	Etanercept	biotech	liquid	962	approved	Humans and other mammals
DB00006	Bivalirudin	small molecule	solid	646	approved	Humans and other mammals
DB00007	Leuprolide	small molecule	liquid	1170	approved	Humans and other mammals
DB00008	Peginterferon alfa-2a	biotech	liquid	661	approved	Humans and other mammals
DB00009	Alteplase	biotech	liquid	702	approved	Humans and other mammals
DB00010	Sermorelin	biotech	liquid	0	approved	Humans and other mammals
DB00011	Interferon alfa-n1	biotech	liquid	608	approved	Humans and other mammals
DB00012	Darbepoetin alfa	biotech	liquid	524	approved	Humans and other mammals
DB00013	Urokinase	biotech	liquid	701	approved	Humans and other mammals
DB00014	Goserelin	small molecule	solid	1105	approved	Humans and other mammals
DB00015	Reteplase	biotech	liquid	702	approved	Humans and other mammals
DB00016	Erythropoietin	biotech	liquid	552	approved	Humans and other mammals
DB00017	Salmon calcitonin	biotech	liquid	907	approved	Humans and other mammals
DB00018	Interferon alfa-n3	biotech	liquid	611	approved	Humans and other mammals
DB00019	Pegfilgrastim	biotech	liquid	45	approved	Humans and other mammals
DB00020	Sargramostim	biotech	liquid	9	approved	Humans and other mammals
DB00022	Peginterferon alfa-2b	biotech	liquid	924	approved	Humans and other mammals
DB00023	Asparaginase Escherichia coli	biotech	liquid	24	approved	Humans and other mammals
DB00024	Thyrotropin alfa	biotech	liquid	469	approved	Humans and other mammals
DB00025	Antihemophilic factor, human recombinant	biotech	solid	95	approved	Humans and other mammals
DB00026	Anakinra	biotech	liquid	962	approved	Humans and other mammals
DB00027	Gramicidin D	small molecule	liquid	16	approved	Staphylococcus aureus
DB00028	Human immunoglobulin G	biotech	liquid	329	approved	Humans and other mammals
DB00029	Anistreplase	biotech	liquid	701	approved	Humans and other mammals
DB00030	Insulin human	biotech	liquid	729	approved	Humans and other mammals
DB00031	Tenecteplase	biotech	liquid	702	approved	Humans and other mammals
DB00032	Menotropins	biotech	liquid	0	approved	Humans and other mammals
DB00033	Interferon gamma-1b	biotech	liquid	608	approved	unknown
DB00034	Interferon alfa-2a, Recombinant	biotech	liquid	611	approved	Humans and other mammals
DB00035	Desmopressin	small molecule	solid	1138	approved	Humans and other mammals
DB00036	Coagulation factor VIIa Recombinant Human	biotech	liquid	96	approved	Humans and other mammals
DB00038	Oprelvekin	biotech	liquid	0	approved	Humans and other mammals
DB00039	Palifermin	biotech	liquid	129	approved	Humans and other mammals
DB00040	Glucagon	biotech	liquid	188	approved	Humans and other mammals
DB00041	Aldesleukin	biotech	liquid	1424	approved	Humans and other mammals
DB00042	Botulinum Toxin Type B	biotech	liquid	803	approved	Humans and other mammals
DB00043	Omalizumab	biotech	solid	330	approved	Humans and other mammals
DB00044	Lutropin alfa	biotech	liquid	0	approved	Humans and other mammals
DB00045	Lyme disease vaccine (recombinant OspA)	biotech	liquid	0	approved	Humans and other mammals
DB00046	Insulin lispro	biotech	liquid	729	approved	Humans and other mammals
DB00047	Insulin glargine	biotech	liquid	728	approved	Humans and other mammals
DB00048	Collagenase clostridium histolyticum	biotech	liquid	90	approved	Humans and other mammals
DB00049	Rasburicase	biotech	liquid	11	approved	Humans and other mammals
DB00050	Cetrorelix	small molecule	solid	0	approved	Humans and other mammals
DB00051	Adalimumab	biotech	liquid	1244	approved	Humans and other mammals
DB00052	Somatotropin	biotech	liquid	161	approved	Humans and other mammals
DB00053	Imiglucerase	biotech	liquid	0	approved	Humans and other mammals
DB00054	Abciximab	biotech	liquid	940	approved	Humans and other mammals
DB00055	Drotrecogin alfa	biotech	liquid	647	approved	Humans and other mammals
DB00056	Gemtuzumab ozogamicin	biotech	liquid	733	approved	Humans and other mammals
DB00057	Indium In-111 satumomab pendetide	biotech	liquid	329	experimental	Humans and other mammals
DB00058	Alpha-1-proteinase inhibitor	biotech	liquid	50	approved	Humans and other mammals
DB00059	Pegaspargase	biotech	liquid	361	approved	Humans and other mammals
DB00060	Interferon beta-1a	biotech	liquid	200	approved	unknown
DB00061	Pegademase	biotech	liquid	37	approved	Humans and other mammals
DB00062	Albumin human	biotech	solid	0	approved	Humans and other mammals
DB00063	Eptifibatide	biotech	liquid	418	approved	Humans and other mammals
DB00065	Infliximab	biotech	liquid	1284	approved	Humans and other mammals
DB00066	Follitropin	biotech	liquid	184	approved	Humans and other mammals
DB00067	Vasopressin	small molecule	solid	27	approved	Humans and other mammals
DB00068	Interferon beta-1b	biotech	liquid	608	approved	Humans and other mammals
DB00069	Interferon alfacon-1	biotech	liquid	611	approved	Humans and other mammals
DB00070	Hyaluronidase (ovine)	biotech	liquid	217	approved	Humans and other mammals
DB00071	Insulin pork	biotech	liquid	729	approved	Humans and other mammals
DB00072	Trastuzumab	biotech	liquid	642	approved	Humans and other mammals
DB00073	Rituximab	biotech	liquid	884	approved	Humans and other mammals
DB00074	Basiliximab	biotech	liquid	595	approved	Humans and other mammals
DB00075	Muromonab	biotech	liquid	595	approved	Humans and other mammals
DB00076	Digoxin Immune Fab (Ovine)	biotech	liquid	329	approved	Humans and other mammals
DB00078	Ibritumomab tiuxetan	biotech	liquid	728	approved	Humans and other mammals
DB00080	Daptomycin	small molecule	solid	833	approved	Enteric bacteria and other eubacteria
DB00081	Tositumomab	biotech	liquid	1386	approved	Humans and other mammals
DB00082	Pegvisomant	biotech	liquid	674	approved	Humans and other mammals
DB00083	Botulinum toxin type A	biotech	solid	804	approved	Humans and other mammals
DB00085	Pancrelipase	biotech	solid	23	approved	Humans and other mammals
DB00086	Streptokinase	biotech	liquid	902	approved	Humans and other mammals
DB00087	Alemtuzumab	biotech	liquid	732	approved	unknown
DB00088	Alglucerase	biotech	liquid	0	approved	Humans and other mammals
DB00089	Capromab pendetide	biotech	liquid	348	approved	Humans and other mammals
DB00090	Laronidase	biotech	liquid	0	approved	Humans and other mammals
DB00091	Cyclosporine	small molecule	solid	2167	approved	Humans and other mammals
DB00092	Alefacept	biotech	liquid	312	approved	Humans and other mammals
DB00093	Felypressin	small molecule	solid	8	experimental	Humans and other mammals
DB00094	Urofollitropin	biotech	liquid	0	approved	Humans and other mammals
DB00095	Efalizumab	biotech	liquid	595	approved	Humans and other mammals
DB00097	Choriogonadotropin alfa	biotech	solid	0	approved	Humans and other mammals
DB00098	Antithymocyte immunoglobulin (rabbit)	biotech	liquid	595	approved	Humans and other mammals
DB00099	Filgrastim	biotech	liquid	10	approved	Humans and other mammals
DB00100	Coagulation Factor IX (Recombinant)	biotech	liquid	95	approved	Humans and other mammals
DB00102	Becaplermin	biotech	liquid	0	approved	Humans and other mammals
DB00103	Agalsidase beta	biotech	liquid	3	approved	Humans and other mammals
DB00104	Octreotide	small molecule	liquid	647	approved	Humans and other mammals
DB00105	Interferon alfa-2b	biotech	liquid	617	approved	Humans and other mammals
DB00106	Abarelix	small molecule	solid	0	approved	Humans and other mammals
