V1	V2	V3	V4	V5	V6
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) STRAIN UGANDAN / ISOLATE U455	 14	 336	 127	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE Z2 / CDC-Z34	 13	 336	  97	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE WMJ2	  8	 336	  62	Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P52948,P78406
SARS-COV-2	Human coronavirus NL63	  1	 336	   2	Q9BYF1
SARS-COV-2	Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013)	 24	 336	 367	P27105,Q8NEW0,Q96HR9,P62072,Q9BSF4,Q9Y5J6,Q9Y5J7,P11233,Q8NBX0,Q8WUY8,Q96A26,Q9BQE4,O95260,O96028,Q13206,Q7L2J0,Q9NZJ7,Q7Z2K6,Q86VR2,Q8TEQ8,Q9BQ95,Q9H845,Q9Y375,Q9Y6M9
SARS-COV-2	bat coronavirus  RaTG13 (bat coronavirus  RaTG13)	  1	 336	   1	Q9BYF1
SARS-COV-2	SARS coronavirus PC4-145 (SARS coronavirus PC4-145)	  1	 336	   1	Q9BYF1
SARS-COV-2	Severe acute respiratory syndrome (SARS) coronavirus	  3	 336	  29	Q9H4F8,P27448,Q9BYF1
SARS-COV-2	Human immunodeficiency virus 2 (HIV2) ISOLATE BEN	  1	 336	  24	Q96CW1
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE NDK	 13	 336	  92	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Molluscum contagiosum virus 1	  1	 336	  11	Q13546
SARS-COV-2	Human poliovirus 1	  1	 336	   1	P15151
SARS-COV-2	Clostridium phage c-st	  1	 336	   1	P11233
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE BH5	 12	 336	 100	Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE BH8	 10	 336	  82	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE BRAIN	 10	 336	  80	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE CDC-451	 11	 336	 107	Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE JH3	 10	 336	  88	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE JRCSF	 14	 336	 136	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 ISOLATE lw12.3	 13	 336	  89	O94973,Q96CW1,Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE MAL	 14	 336	 138	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 ISOLATE NIT-A	 11	 336	  48	Q8TEM1,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE OYI	 14	 336	 134	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE RF / HAT	 14	 336	 137	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE SC	 14	 336	 130	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,P62877,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE SF33	 13	 336	 122	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE Z-84	 13	 336	 122	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 3	 11	 336	  95	Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,Q15369,Q15370,P52948,P78406
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE HZ321	 13	 336	 121	O94973,Q96CW1,Q8TEM1,P13984,P35658,P37198,Q7Z3B4,Q99567,Q9BVL2,Q15369,Q15370,P52948,P78406
SARS-COV-2	Influenza A virus STRAIN A / WSN / 1933 TS61 (H1N1)	  1	 336	  96	Q8N4C6
SARS-COV-2	Influenza A virus STRAIN A / Qa / THAILAND / 57 / 2004 (H5N1)	  2	 336	  17	Q8N4C6,P35658
SARS-COV-2	Influenza A virus STRAIN A / UDORN / 1972 (H3N2)	  5	 336	  75	Q99081,Q08379,Q8TD10,Q9UJC3,Q96B26
SARS-COV-2	Influenza A virus STRAIN A / MIGRATORY DUCK / HONG KONG / MPS180 / 2003 (H4N6)	  1	 336	  28	P35658
SARS-COV-2	Human respiratory syncytial virus STRAIN S-2	  1	 336	   4	P61586
SARS-COV-2	Influenza A virus STRAIN A / NEW YORK / 392 / 2004 (H3N2)	  1	 336	   1	P11940
SARS-COV-2	Equine infectious anemia virus CLONE CL22	  1	 336	   2	P52948
SARS-COV-2	Human enterovirus 71 STRAIN 7423 / MS / 87	  1	 336	  28	Q9UBX5
SARS-COV-2	Influenza A virus STRAIN A / PARIS / 908 97 (H3N2)	  7	 336	 200	P27105,O95391,Q08379,Q5VU43,Q86YT6,P05556,P12109
SARS-COV-2	Dengue virus 4 STRAIN PHILIPPINES / H241 / 1956	  3	 336	  35	O00203,Q14789,Q13438
SARS-COV-2	Dengue virus 3 STRAIN PHILIPPINES / H87 / 1956	  3	 336	  34	O00203,Q14789,Q13438
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) CLONE 12	 18	 336	 188	Q13617,Q15369,Q15370,Q9ULX6,O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q7Z3B4,Q96CW1,Q99567,Q9BVL2,O60885,Q9NR30
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2	 14	 336	 143	O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2
SARS-COV-2	Human adenovirus 5	 12	 336	 246	Q92900,P28300,Q08117,P05556,P51148,P62873,Q13724,Q969X5,Q9NP72,Q9NQC3,Q7Z7A1,Q9Y2I6
SARS-COV-2	Hepatitis B virus	  1	 336	  48	P05026
