taxID	Virus	D
11679	Human immunodeficiency virus 1 (HIV1) CLONE 12	0.64961425
11685	Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2	0.64961425
28285	Human adenovirus 5	0.8267867
10407	Hepatitis B virus	0.6496142
11676	Human immunodeficiency virus 1 (HIV1)	0.6496142
11707	Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3	0.64961425
337052	Deltapapillomavirus 4	0.8267867
10254	Vaccinia virus STRAIN WR	0.8267867
10249	Vaccinia virus STRAIN COPENHAGEN	0.8267867
83333	Escherichia coli K-12	1.0000000
82830	Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876	0.8267867
210	Helicobacter pylori	1.0000000
11855	Mason-Pfizer monkey virus  (MPMV)	0.6496142
11879	Avian sarcoma virus STRAIN PR2257	0.6496142
623	Shigella flexneri	1.0000000
83334	Escherichia coli O157:H7	1.00000000
10360	Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169	0.8267867
333760	Human papillomavirus TYPE 16 (HPV 16)	0.8267867
10377	Human herpesvirus 4 (Epstein-Barr virus) STRAIN B95-8	0.8267867
287	Pseudomonas aeruginosa	1.0000000
333761	Human papillomavirus TYPE 18 (HPV 18)	0.8267867
269446	Rous sarcoma virus STRAIN SCHMIDT-RUPPIN A	0.64961425
99287	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHIMURIUM STRAIN LT2	1.00000000
46015	Autographa californica nucleopolyhedrovirus	0.8267867
243274	strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099 (thema)	1.0000000
199310	Escherichia coli STRAIN CFT073	1.0000000
28282	Human adenovirus 12	0.8267867
11678	Human immunodeficiency virus 1 (HIV1) ISOLATE BH10	0.64961425
265872	Cowpox virus STRAIN BRIGHTON RED	0.8267867
10383	Herpesvirus saimiri STRAIN 11	0.8267867
1280	Staphylococcus aureus	1.0000000
10299	Human herpesvirus 1 STRAIN 17	0.8267867
1320	Streptococcus GROUP G	1.0000000
562	Escherichia coli	1.0000000
11708	Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6	0.64961425
37137	Simian rotavirus A STRAIN SA11-both	0.62516060
10306	Human herpesvirus 1 STRAIN KOS	0.8267867
5691	Trypanosoma brucei	1.0000000
10315	Human herpesvirus 2 STRAIN HG52	0.8267867
1392	Bacillus anthracis	1.0000000
93061	Staphylococcus aureus SUBSPECIES AUREUS / STRAIN NCTC 8325	1.00000000
10384	Herpesvirus saimiri STRAIN 488	0.8267867
11065	Dengue virus 2 STRAIN NEW GUINEA C	0.62516060
11908	Human T-lymphotropic virus 1	0.64961425
90370	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHI	1.00000000
10370	Human herpesvirus 6 STRAIN UGANDA-1102	0.8267867
85962	Helicobacter pylori 26695	1.0000000
694009	Human SARS coronavirus (sars-cov)	0.1475821
37296	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus)	0.8267867
237561	Candida albicans STRAIN SC5314	1.0000000
5476	Candida albicans	1.0000000
1891767	Macaca mulatta polyomavirus 1	0.8267867
388812	Human immunodeficiency virus 1 ISOLATE 92BR025	0.64961425
5855	Plasmodium vivax	1.0000000
290579	Human immunodeficiency virus 1 ISOLATE LAI	0.64961425
11689	Human immunodeficiency virus 1 (HIV1) ISOLATE ELI	0.64961425
31767	Hepatitis E virus STRAIN BURMA	0.62516060
31768	Hepatitis E virus STRAIN MEXICO	0.62516060
1891730	Mus musculus polyomavirus 1	0.8267867
10600	Human papillomavirus TYPE 6b (HPV 6b)	0.8267867
10580	Human papillomavirus TYPE 11 (HPV 11)	0.8267867
11113	Hepatitis C virus ISOLATE HC-J6	0.62516060
11108	Hepatitis C virus ISOLATE H	0.62516060
420174	Hepatitis C virus ISOLATE HC-J4	0.62516060
333284	Hepatitis C virus ISOLATE CON1	0.62516060
10529	Human adenovirus 31	0.8267867
10527	Human adenovirus 9	0.8267867
10579	Human papillomavirus TYPE 8 (HPV 8)	0.8267867
10583	Human papillomavirus TYPE 1a (HPV 1a)	0.8267867
10515	Human adenovirus 2	0.8267867
10585	Human papillomavirus TYPE 31 (HPV 31)	0.8267867
11698	Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5	0.64961425
11720	Human immunodeficiency virus 2 (HIV2) ISOLATE ROD	0.64961425
11733	Simian immunodeficiency virus (SIV) ISOLATE MM142-83	0.64961425
632	Yersinia pestis	1.0000000
31553	Kappapapillomavirus 2 (Papillomavirus sylvilagi) STRAIN KANSAS	0.8267867
10593	Human papillomavirus TYPE 45 (HPV 45)	0.8267867
11103	Hepatitis C virus	0.6251606
185431	Trypanosoma brucei brucei STRAIN TREU927	1.0000000
10598	Human papillomavirus TYPE 58 (HPV 58)	0.8267867
435895	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus) TYPE M	0.8267867
36329	Plasmodium falciparum ISOLATE 3D7	1.0000000
630	Yersinia enterocolitica	1.0000000
83331	Mycobacterium tuberculosis STRAIN CDC1551	1.0000000
83332	Mycobacterium tuberculosis STRAIN H37Rv	1.0000000
31645	Hepatitis C virus ISOLATE TAIWAN	0.62516060
12081	strain Mahoney (pol1m)	0.48709373
1491	Clostridium botulinum	1.0000000
10623	Kappapapillomavirus 2 (Papillomavirus sylvilagi)	0.8267867
644	Aeromonas hydrophila	1.0000000
928306	Moloney murine leukemia virus ISOLATE SHINNICK	0.64961425
1496	Clostridium difficile	1.0000000
10335	Human herpesvirus 3	0.8267867
341980	Human herpesvirus 3 STRAIN OKA VACCINE	0.8267867
868565	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus) STRAIN GK18	0.8267867
273123	Yersinia pseudotuberculosis STRAIN IP 32953	1.0000000
1314	Streptococcus pyogenes	1.0000000
11082	West Nile virus	0.6251606
10560	Bovine papillomavirus TYPE 2 (BPV 2)	0.8267867
622	Shigella dysenteriae	1.0000000
10684	Bacillus phage PBS2	0.8267867
574521	Escherichia coli O127:H6 STRAIN E2348 / 69	1.0000000
71421	Haemophilus influenzae Rd KW20	1.0000000
10884	Reovirus TYPE 1 / STRAIN LANG	0.6251606
573	Klebsiella pneumoniae	1.0000000
119602	Streptococcus dysgalactiae SUBSPECIES EQUISSIMILIS	1.0000000
169963	Listeria monocytogenes STRAIN EGD-e	1.0000000
243277	Vibrio cholerae SEROTYPE O1 BIOTYPE El Tor STRAIN N16961	1.0000000
29342	Clostridium botulinum D phage	0.8267867
10359	Human herpesvirus 5 (Human cytomegalovirus)	0.8267867
11104	Hepatitis C virus ISOLATE 1	0.62516060
211044	Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)	0.62516060
301447	Streptococcus pyogenes SEROTYPE M1	1.0000000
10710	Enterobacteria phage lambda	0.8267867
197	Campylobacter jejuni	1.0000000
85963	Helicobacter pylori STRAIN J99	1.0000000
10530	Murine adenovirus 1	0.8267867
11670	Equine infectious anemia virus CLONE 1369	0.6496142
387139	Influenza A virus STRAIN A / AICHI / 2 / 1968 (H3N2)	0.62516060
36436	Simian rotavirus A STRAIN SA11-4F	0.62516060
421877	Hepatitis C virus ISOLATE HC-J1	0.62516060
315277	Chlamydia trachomatis STRAIN A/HAR-13	1.0000000
10847	Enterobacteria phage phiX174 (bpphx)	0.8267867
11788	Abelson murine leukemia virus	0.6496142
73239	Plasmodium yoelii yoelii	1.0000000
12082	Human poliovirus 1 STRAIN SABIN	0.48709373
126794	Vaccinia virus STRAIN ANKARA	0.8267867
176674	Influenza A virus STRAIN A / Duck / Hong Kong / 2986.1 / 2000 (H5N1)	0.62516060
10304	Human herpesvirus 1 STRAIN F	0.8267867
11105	Hepatitis C virus ISOLATE BK	0.62516060
10298	Human herpesvirus 1	0.8267867
73475	Chicken anemia virus GERMAN ISOLATE CUXHAVEN-1	0.8267867
11888	Rous sarcoma virus  STRAIN PRAGUE C	0.6496142
157703	Murine polyomavirus STRAIN A3	0.8267867
31531	Vaccinia virus STRAIN L-IPV	0.8267867
10553	Fowl adenovirus 1	0.8267867
10632	JC polyomavirus	0.8267867
45659	Human adenovirus 3	0.8267867
10614	Human papillomavirus TYPE 3 (HPV 3)	0.8267867
648242	Adeno-associated virus 2 ISOLATE SRIVASTAVA / 1982	0.8267867
10245	Vaccinia virus	0.8267867
265874	Ectromelia virus Moscow	0.8267867
10497	African swine fever virus (ASFV)	0.8267867
480	Moraxella catarrhalis	1.0000000
11116	Hepatitis C virus ISOLATE JAPANESE	0.62516060
272634	Mycoplasma pneumoniae STRAIN M129	1.0000000
11235	Measles virus STRAIN EDMONSTON	0.62516060
11696	Human immunodeficiency virus 1 (HIV1) ISOLATE MN	0.64961425
5833	Plasmodium falciparum	1.0000000
69156	Murid herpesvirus 1 STRAIN K181	0.8267867
1505	Clostridium sordellii	1.0000000
33708	Murid herpesvirus 4 (Murine herpesvirus 68)	0.8267867
11285	Vesicular stomatitis STRAIN SAN JUAN	0.62516060
563041	Helicobacter pylori G27	1.0000000
257309	Corynebacterium diphtheriae NCTC 13129	1.0000000
85618	Ateline herpesvirus 3	0.8267867
11706	Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2	0.64961425
10636	Murine polyomavirus (Mouse polyomavirus) STRAIN A2	0.8267867
381517	Influenza A virus STRAIN A / UDORN / 307 / 1972 (H3N2)	0.62516060
11043	Rubella virus STRAIN M33	0.6251606
10376	Human herpesvirus 4 (Epstein-Barr virus)	0.8267867
272624	Legionella pneumophila SUBSPECIES PNEUMOPHILA STRAIN PHILADEPHIA	1.0000000
11259	Human respiratory syncytial virus A2	0.62516060
177416	Francisella tularensis SUBSPECIES TULARENSIS SCHU S4	1.00000000
119856	Francisella tularensis SUBSPECIES TULARENSIS	1.00000000
11686	Human immunodeficiency virus 1 (HIV1) ISOLATE BRU	0.64961425
353796	Streptomyces sp. KK565	1.0000000
257313	Bordetella pertussis STRAIN Tohama I	1.0000000
11926	Human T-cell lymphotrophic virus TYPE 1 / STRAIN ATK	0.64961425
