V1,V2
-8.619372819,-744.2250462
-12.10605933,-743.5862043
-19.00784634,-754.9169582
-7.832337125,-743.4549996
-20.77368526,-730.9785666
-18.11794623,-740.35414
-14.61520355,-747.5431668
-20.68752041,-736.9408898
-20.74070206,-753.8805016
-12.20683673,-743.3286198
-23.66430127,-732.6167271
-18.81162757,-735.737694
-19.11846428,-757.2963978
-20.4242483,-728.021063
-20.70658593,-736.8197782
-18.28660997,-732.2034453
-23.49635697,-749.132122
-7.858843881,-742.0694454
-14.10920644,-742.5732172
-18.0286429,-756.1082378
-20.92847227,-738.3087444
-28.71143904,-749.0847202
-21.94879861,-730.3439672
-25.2786746,-751.6592043
-15.34092318,-741.8607782
-16.64900921,-754.546321
-18.93834848,-751.8168191
-11.93433615,-746.5878114
-20.83961214,-733.0915414
-16.12138723,-747.0456783
-21.84480987,-729.781439
-22.96727555,-735.4766074
-12.80673205,-749.428054
-20.23799564,-756.1320733
-15.54496671,-745.1095501
-10.45300682,-742.3017363
-13.5819895,-745.4091009
-15.1881832,-744.8289803
-17.13841393,-737.4886799
-10.94199912,-746.022174
-19.04355217,-757.3950867
-10.79304636,-743.6771091
-19.04118918,-753.0710358
-6.25516053,-745.1404837
-6.739085167,-740.4675632
-16.59140117,-743.1626652
-20.23905323,-755.4484181
-11.05788216,-742.9102991
-9.507939575,-744.3931682
-18.10709915,-730.8210327
-10.26045395,-744.0853794
-9.225764523,-745.4076433
-7.213929794,-741.7743756
-18.9878996,-734.6044491
-22.10702963,-733.3343531
-6.501462917,-742.9624666
-12.49888519,-743.6944139
-8.828254519,-744.6733674
-8.225423507,-741.0850455
-21.97372651,-734.4141942
-8.045103023,-743.7521386
-14.76502966,-742.7461147
-6.37236456,-743.5302319
-12.31106412,-742.338644
-22.7375625,-728.8280474
-14.19778494,-746.3061405
-10.78260047,-741.0278664
-10.23859702,-742.5328411
-11.99548964,-743.781261
-10.12193786,-742.8649697
-12.4748125,-743.7388603
-10.73500503,-744.7836442
-7.945772783,-741.2099676
-13.35123294,-743.169364
-22.45050341,-732.7282993
-14.50645268,-753.7649034
-19.64600804,-736.4998958
-11.68993378,-746.0922927
-16.91386697,-732.7893102
-14.85918709,-743.034458
-21.99223179,-732.0858548
-12.69951613,-745.9664465
-14.88656437,-741.2747606
-18.96410249,-756.4680997
-12.46291742,-742.6681499
-12.23470272,-746.0857097
-19.94056184,-735.4479121
-14.71191121,-757.5045373
-11.47637551,-747.1691907
-7.136534536,-745.5392126
-23.49184859,-731.4074013
-9.119805629,-742.970469
-15.5147939,-744.2317953
-8.299837733,-743.8478656
-19.20525817,-732.5110939
-6.985077415,-741.3070901
-20.65320822,-728.5035111
-18.5073061,-752.5845179
-13.55036856,-742.4470629
-17.23943437,-752.8011467
-14.58124057,-757.0527894
-20.31679869,-733.2188109
-13.71057403,-744.559754
-17.06954185,-752.7546101
-21.37922186,-738.2927708
-13.59006892,-746.16879
-15.05556191,-741.8414343
-12.49627687,-748.5156291
-16.08868762,-745.4338653
-7.740592947,-740.848897
-15.00264394,-756.9382375
-7.903443476,-744.6817266
-16.09531134,-739.7010668
-21.85871011,-730.0066832
-14.38276286,-746.9420608
-13.48093374,-744.2906441
-19.54425194,-729.8219979
-22.6843771,-731.5574222
-21.08879537,-731.0363466
-18.34303648,-732.7554479
-7.874683953,-744.2195519
-17.0484374,-729.7444321
-18.10378902,-733.3345924
-17.02236294,-731.5940299
-19.71101936,-731.2542495
-23.02797787,-729.7912975
-17.86297922,-728.4031378
-11.56294601,-745.3940907
-6.885111569,-728.0572534
-13.98882441,-754.0994906
-18.86237253,-735.2361905
-18.03430258,-752.7625788
-12.81900083,-741.5681864
-20.42448039,-727.5611005
-22.27755913,-734.0548323
-19.86753434,-737.3750263
-5.637482561,-745.6584375
-20.83094859,-728.2684726
-7.987234606,-740.0796506
-9.399153231,-743.7910008
-9.263003145,-741.573376
-22.08159253,-730.797129
-5.502049826,-742.0538554
-11.85157719,-744.3421779
-6.139940483,-743.9010717
-21.45317877,-729.7059601
-8.28348965,-742.0760307
-21.23288966,-730.3900632
-16.10283237,-756.968939
-22.41804607,-731.6984887
-6.760240495,-740.851815
-16.88554372,-735.7835146
-10.15433119,-744.9816095
-7.804809518,-745.4545156
-23.78941452,-728.7197284
-18.83761908,-733.144594
-20.59812737,-729.3715019
-15.19967417,-744.7580782
-22.70397512,-733.3026357
-18.98277399,-731.2977743
-20.76104452,-728.2041076
-25.17702301,-730.9685355
-17.52822306,-731.7585054
-5.530673773,-743.4697407
-20.0986821,-726.6999667
-24.01819991,-733.4660419
-17.51615956,-732.721995
-16.09196151,-754.3006223
-16.44583499,-739.1918168
-15.40745613,-728.4505466
-21.59814855,-731.0899968
-23.71706052,-734.3490864
-12.20691913,-746.4764476
-12.63777111,-742.5288201
-18.63876589,-733.5458014
-14.88226973,-752.2815328
-11.01939253,-744.0002958
-23.74778831,-728.1828168
-17.60390681,-751.6031423
-9.874097122,-742.8356153
-18.28901718,-733.9056335
-10.52891322,-744.5964753
-3.849406451,-743.21015
-14.0363775,-753.1947592
-9.912076744,-740.3471834
-20.37036735,-730.2437668
-10.22908437,-739.3962178
-10.60221004,-740.7455047
-10.30380252,-748.2837737
-17.7246243,-731.0214299
-22.81301748,-733.1808358
-20.6321999,-735.0437952
-23.73949061,-734.1907635
-19.7347884,-734.4098229
-17.39147924,-733.0151902
-20.15044756,-731.0773584
-18.50712006,-729.3149169
-22.19293434,-734.7051298
-21.3396541,-728.6205216
-19.66283104,-729.9808741
-20.44553405,-730.9478211
-20.59498048,-730.717086
-23.11859481,-734.3489796
-26.00168155,-752.4248147
-20.53053767,-756.7691566
-9.74688766,-740.8200083
-9.881366951,-727.0462896
-7.400751566,-745.2979342
-12.06743924,-742.1395779
-19.43370064,-754.0294316
-13.19947913,-748.8570999
-14.52254626,-753.0365591
-13.82474131,-744.4820692
-19.73397469,-729.8609365
-19.16402667,-734.9570837
-19.4989451,-756.3219985
-16.9904742,-731.8606536
-22.03546056,-728.9191091
-22.79148505,-731.6716739
-18.09599018,-730.3046941
-17.61087831,-731.3126645
-9.412113085,-745.0383243
-15.70702147,-755.6423797
-16.40848999,-757.9788884
-21.78855597,-733.5131582
-16.46667374,-747.1009144
-11.6374277,-748.4847075
-15.94678268,-732.6708846
-15.01145689,-752.1904316
-13.14786707,-742.1596216
-22.66453125,-732.7098657
-25.05626588,-751.426367
-19.84866416,-735.7660322
-4.154072065,-743.4732978
-16.79569409,-757.4223833
-14.79115427,-740.8709371
-19.55088787,-728.1247148
-7.441891854,-723.8801227
-12.14175295,-740.3885494
-10.22999742,-746.9420116
-18.5637182,-751.9973454
-19.8055414,-731.3861322
-11.73215008,-748.2441522
-14.27946536,-756.1388193
-16.09857193,-743.7682587
-19.68751357,-732.065716
-19.39502601,-755.1502188
-4.814505909,-745.4479981
-21.61809965,-731.9261369
-20.06670124,-736.7351175
-17.96837541,-741.542059
-10.73582395,-742.9337393
-7.962136217,-740.807849
-18.7810134,-756.806558
-18.81374623,-731.3566424
-10.61514577,-744.0908482
-18.98610122,-734.182992
-12.98802011,-743.2319416
-16.28328128,-752.5558863
-9.199749312,-741.6930425
-6.996277102,-741.1384866
-7.372684272,-738.9064577
-6.898345963,-739.5422753
-4.773467281,-743.5283242
-6.468175077,-742.3833403
-22.57317195,-732.0221996
-10.53422048,-740.0227948
-10.22126255,-743.5159452
-3.572162237,-741.7637177
-22.36235308,-733.4602603
-5.929808159,-741.3388232
-12.33348286,-744.8527528
-6.224409303,-741.0659622
-4.3388158,-741.3227279
-9.579706738,-745.8678412
-8.749765928,-744.8029119
-4.503501866,-744.5297854
-4.261678383,-740.5992542
-6.799120144,-744.5123563
-21.13070162,-738.0004369
-10.51441277,-743.4919231
-10.59491761,-748.3283367
-14.58539122,-755.4285369
-12.544951,-742.3247094
-9.184324253,-739.102947
-7.966106695,-743.0252309
-13.44806935,-746.1260328
-9.941312289,-738.685929
-5.109007166,-744.0682944
-9.066266692,-744.2261723
-18.30460985,-731.2747758
-16.8155374,-733.3121807
-19.27019845,-749.8495332
-22.7581012,-730.9456529
-11.6261872,-745.8200658
-19.26675618,-729.0962897
-19.88300333,-729.3742788
-15.16790138,-749.0759711
-14.68123503,-750.7972452
-17.02759787,-729.9730324
-23.68715074,-731.1368049
-22.74617462,-731.5773418
-7.391808623,-744.8821794
-15.72842372,-748.9104631
-21.30876722,-729.8828734
-20.68638553,-734.3131128
-19.45851608,-732.468677
-17.44326749,-741.9315881
-20.58752656,-736.1967251
-18.63898355,-729.1254692
-16.81545309,-745.5318288
-16.32860533,-746.4876296
-21.47861075,-731.4307436
-22.23160837,-732.8574264
-19.56625922,-729.146132
-17.80863594,-729.4577973
-20.00614362,-733.1884878
-22.04916031,-730.6701675
-19.99058123,-726.394439
-7.197851546,-739.0272149
-7.925436897,-742.5494865
-12.69130841,-746.2600491
-21.66824372,-733.6007204
-12.67105576,-748.1265202
-14.75948447,-744.3688593
-18.43774269,-733.9899559
-21.10048541,-735.2699204
-21.79396456,-729.5442679
-20.42377768,-731.153062
-7.071315686,-745.26105
-10.38218106,-748.000075
-15.47949126,-730.512341
-10.17333692,-745.8663767
-6.028837054,-739.2835265
-22.11935771,-728.9203709
-20.20175021,-732.5627443
-21.96242153,-733.5408594
-24.33266582,-740.1011781
-18.29979639,-756.2040262
-20.82827452,-728.4381008
-13.49755645,-738.8602968
-13.96393249,-745.7086913
-21.11256455,-734.249952
-20.08702001,-728.1370526
-22.23367995,-728.9400915
-8.80264057,-747.6736358
-20.22096167,-752.678379
-5.053623416,-743.9227768
-19.67125949,-730.4379182
-22.18912631,-734.7411188
-20.35993667,-730.3908642
-17.91392994,-734.4571519
-11.09019978,-745.4718781
-19.89221079,-728.2994413
-16.3432624,-732.9855612
-20.11812994,-732.4086417
-14.47596708,-741.8230579
