gene	abslogFC	rank	eid	weightFC	weightR
CLEC3B	12.30962091	1	7123	1	1
RRAD	11.47632379	2	6236	0.932305216700617	0.996666666666667
SMTN	10.34174161	3	6525	0.840134857572962	0.993333333333333
ARRDC2	10.33168175	4	27106	0.839317622007906	0.99
PHLDB1	10.31970483	5	23187	0.83834464972163	0.986666666666667
MAP3K6	10.2787766	6	9064	0.835019752042064	0.983333333333333
GAS6	10.1895339	7	2621	0.827769918708244	0.98
S100A13	10.07023393	8	6284	0.818078314809778	0.976666666666667
PLXNA2	9.988939586	9	5362	0.811474184220024	0.973333333333333
DOCK6	9.94698506	10	57572	0.808065913054994	0.97
TCF25	9.896679125	11	22980	0.80397919622043	0.966666666666667
ARHGEF15	9.838177867	12	22899	0.799226713716889	0.963333333333333
CYP3A5	9.735930618	13	1577	0.790920426322048	0.96
PER1	9.715809344	14	5187	0.78928582894922	0.956666666666667
ITGB3	9.686446227	15	3690	0.786900449479398	0.953333333333333
LMOD1	9.660058244	16	25802	0.784756761774234	0.95
THOC6	9.633208638	17	79228	0.782575573076685	0.946666666666667
WISP2	9.569518255	18	8839	0.777401540223386	0.943333333333333
GAK	9.564518879	19	2580	0.776995404564412	0.94
NOTCH4	9.505222258	20	4855	0.772178308941928	0.936666666666667
KCNK3	9.503359735	21	3777	0.772027002657712	0.933333333333333
TNXB	9.419336849	22	7148	0.765201212764236	0.93
PRELID1	9.416840315	23	27166	0.764998401157099	0.926666666666667
CD82	9.414906611	24	3732	0.764841312322753	0.923333333333333
SEMA3F	9.360576295	25	6405	0.76042766576148	0.92
ARAP3	9.333894975	26	64411	0.758260148159185	0.916666666666667
SLC25A44	9.301134512	27	9673	0.755598777574378	0.913333333333333
TBCD	9.288776875	28	6904	0.7545948768783	0.91
FDCSP	9.249091594	29	260436	0.751370952982499	0.906666666666667
S100A2	9.238384924	30	6273	0.750501172338702	0.903333333333333
PPP1R14B	9.234105758	31	26472	0.750153544574103	0.9
BAP1	9.211252195	32	6045	0.748296983501501	0.896666666666667
GPR146	9.204421795	33	115330	0.747742100451085	0.893333333333333
GRPEL2	9.203818054	34	134266	0.747693054180334	0.89
MAFG	9.181296192	35	4097	0.745863439591496	0.886666666666667
ATG4B	9.180546114	36	23192	0.745802505302334	0.883333333333333
ACTR1B	9.170430505	37	10120	0.744980740840702	0.88
KCTD20	9.157692678	38	222658	0.743945954546865	0.876666666666667
GUCD1	9.146032346	39	83606	0.742998701005489	0.873333333333333
HIF3A	9.11933766	40	64344	0.74083009758584	0.87
RAPGEF3	9.117001987	41	10411	0.740640353887226	0.866666666666667
FBXW5	9.102348262	42	54461	0.739449925269876	0.863333333333333
INPP5A	9.097799759	43	3632	0.739080417302632	0.86
SFRP2	9.073489502	44	6423	0.737105518385944	0.856666666666667
TCERG1	9.061746593	45	10915	0.736151556514505	0.853333333333333
