gene	abslogFC	rank	eid	weightFC	weightR
FDCSP	26.52	1	260436	1	1
HTN3	26.33	2	3347	0.992835595776772	0.996666666666667
RN7SL5P	17.71	3	6031	0.667797888386124	0.993333333333333
STATH	15.2	4	6779	0.57315233785822	0.99
SPRR1B	14.47	5	6699	0.545625942684766	0.986666666666667
SPRR1A	13.59	6	6698	0.512443438914027	0.983333333333333
IGLC2	13.55	7	3538	0.510935143288085	0.98
SPRR2D	13.49	8	6703	0.50867269984917	0.976666666666667
RNASE7	12.96	9	84659	0.48868778280543	0.973333333333333
HTN1	12.75	10	3346	0.480769230769231	0.97
CRCT1	12.34	11	54544	0.465309200603318	0.966666666666667
FAM204BP	12.34	12	100420875	0.465309200603318	0.963333333333333
MTRNR2L12	12.12	13	100463498	0.457013574660633	0.96
AC104126.1	12.04	14	AC104126.1	0.453996983408748	0.956666666666667
AL033519.3	11.95	15	AL033519.3	0.450603318250377	0.953333333333333
LINC01133	11.86	16	100505633	0.447209653092006	0.95
RIMS1	11.68	17	22999	0.440422322775264	0.946666666666667
H19	11.58	18	283120	0.436651583710407	0.943333333333333
TMPRSS11E	11.57	19	28983	0.436274509803922	0.94
HIST1H1D	11.55	20	3007	0.43552036199095	0.936666666666667
TFF1	11.36	21	7031	0.428355957767722	0.933333333333333
MTCO2P11	11.18	22	107075214	0.42156862745098	0.93
UTS2	10.85	23	10911	0.409125188536953	0.926666666666667
SPRR3	10.72	24	6707	0.40422322775264	0.923333333333333
FAM83B	10.71	25	222584	0.403846153846154	0.92
AC122718.1	10.61	26	AC122718.1	0.400075414781297	0.916666666666667
GALNT5	10.57	27	11227	0.398567119155354	0.913333333333333
CEACAM5	10.42	28	1048	0.392911010558069	0.91
CLCA4	10.4	29	22802	0.392156862745098	0.906666666666667
HIST1H1E	10.34	30	3008	0.389894419306184	0.903333333333333
HIST2H2AB	10.24	31	317772	0.386123680241327	0.9
TMPRSS11B	10.15	32	132724	0.382730015082956	0.896666666666667
SCEL	10.13	33	8796	0.381975867269985	0.893333333333333
HSPB8	10.12	34	26353	0.381598793363499	0.89
FOXQ1	9.86	35	94234	0.371794871794872	0.886666666666667
CRISP3	9.78	36	10321	0.368778280542986	0.883333333333333
HIST1H2AL	9.73	37	8332	0.366892911010558	0.88
AC006141.1	9.69	38	AC006141.1	0.365384615384615	0.876666666666667
MUC21	9.68	39	394263	0.36500754147813	0.873333333333333
AC090498.1	9.68	40	AC090498.1	0.36500754147813	0.87
AC012066.2	9.64	41	AC012066.2	0.363499245852187	0.866666666666667
TMPRSS11D	9.61	42	9407	0.36236802413273	0.863333333333333
LINC00632	9.6	43	286411	0.361990950226244	0.86
LMNTD1	9.54	44	160492	0.35972850678733	0.856666666666667
SERPINB5	9.42	45	5268	0.355203619909502	0.853333333333333
AC111149.2	9.4	46	AC111149.2	0.354449472096531	0.85
MTRNR2L8	9.4	47	100463486	0.354449472096531	0.846666666666667
STARD13-AS	9.4	48	100874241	0.354449472096531	0.843333333333333
MTRNR2L1	9.33	49	100462977	0.351809954751131	0.84
SPINK5	9.25	50	11005	0.348793363499246	0.836666666666667
SYTL5	9.21	51	94122	0.347285067873303	0.833333333333333
RNF152	9.2	52	220441	0.346907993966817	0.83
SERPINB2	9.15	53	5055	0.345022624434389	0.826666666666667
PCLO	9.07	54	27445	0.342006033182504	0.823333333333333
MAPK6P3	9.05	55	317684	0.341251885369532	0.82
LURAP1L	9.03	56	286343	0.340497737556561	0.816666666666667
RPL37P2	9.02	57	116730	0.340120663650075	0.813333333333333
PIP	8.96	58	5304	0.337858220211161	0.81
BMPR1B	8.95	59	658	0.337481146304676	0.806666666666667
CEACAM6	8.92	60	4680	0.336349924585219	0.803333333333333
POU5F2	8.91	61	134187	0.335972850678733	0.8
CRNN	8.8	62	49860	0.331825037707391	0.796666666666667
HIST1H4B	8.76	63	8366	0.330316742081448	0.793333333333333
CNTN5	8.75	64	53942	0.329939668174962	0.79
PART1	8.69	65	25859	0.327677224736048	0.786666666666667
GABRP	8.66	66	2568	0.326546003016591	0.783333333333333
KRT17	8.65	67	3872	0.326168929110106	0.78
FTH1P10	8.64	68	2502	0.32579185520362	0.776666666666667
RN7SL3	8.62	69	378707	0.325037707390649	0.773333333333333
UPK1B	8.56	70	7348	0.322775263951735	0.77
UCA1	8.55	71	652995	0.322398190045249	0.766666666666667
VTCN1	8.54	72	79679	0.322021116138763	0.763333333333333
MT-RNR1	8.5	73	MT-RNR1	0.320512820512821	0.76
RAB25	8.45	74	57111	0.318627450980392	0.756666666666667
DUOX2	8.45	75	50506	0.318627450980392	0.753333333333333
MT-RNR2	8.42	76	4550	0.317496229260935	0.75
SHISA6	8.39	77	388336	0.316365007541478	0.746666666666667
AL139100.1	8.35	78	AL139100.1	0.314856711915535	0.743333333333333
ADGRL2	8.33	79	23266	0.314102564102564	0.74
VEPH1	8.25	80	79674	0.311085972850679	0.736666666666667
RASSF6	8.23	81	166824	0.310331825037707	0.733333333333333
AL133243.4	8.22	82	AL133243.4	0.309954751131222	0.73
PTN	8.16	83	5764	0.307692307692308	0.726666666666667
MSMB	8.14	84	4477	0.306938159879336	0.723333333333333
SNORA79B	8.12	85	109616976	0.306184012066365	0.72
C1orf116	8.11	86	79098	0.305806938159879	0.716666666666667
NFIB	8.11	87	4781	0.305806938159879	0.713333333333333
EXPH5	8.11	88	23086	0.305806938159879	0.71
FMO2	8.07	89	2327	0.304298642533937	0.706666666666667
FREM2	8.07	90	341640	0.304298642533937	0.703333333333333
ZNF462	8.06	91	58499	0.303921568627451	0.7
BEND5	8.05	92	79656	0.303544494720965	0.696666666666667
AC079793.1	8.04	93	AC079793.1	0.30316742081448	0.693333333333333
METTL7B	8.02	94	196410	0.302413273001508	0.69
CXCL6	8	95	6372	0.301659125188537	0.686666666666667
MUC16	8	96	94025	0.301659125188537	0.683333333333333
SERPINB11	7.93	97	11029	0.299019607843137	0.68
RAI14	7.88	98	26064	0.297134238310709	0.676666666666667
TMEM246	7.87	99	84302	0.296757164404223	0.673333333333333
AC012066.1	7.86	100	AC012066.1	0.296380090497738	0.67
SMIM31	7.83	101	100505989	0.295248868778281	0.666666666666667
HEY1	7.81	102	23462	0.294494720965309	0.663333333333333
EFHD1	7.79	103	80303	0.293740573152338	0.66
RPL21P16	7.79	104	729402	0.293740573152338	0.656666666666667
AC034236.1	7.78	105	AC034236.1	0.293363499245852	0.653333333333333
AC004765.1	7.76	106	AC004765.1	0.292609351432881	0.65
SERPINB3	7.76	107	6317	0.292609351432881	0.646666666666667
SLITRK6	7.75	108	84189	0.292232277526395	0.643333333333333
AC105052.5	7.72	109	AC105052.5	0.291101055806938	0.64
PTGFR	7.71	110	5737	0.290723981900453	0.636666666666667
AC009951.4	7.71	111	AC009951.4	0.290723981900453	0.633333333333333
