gene	abslogFC	rank	eid	weightFC	weightR
ADAMTS2	10.24	1	9509	1	1
WFDC1	9.06	2	58189	0.884765625	0.996632996632997
TIMP4	8.76	3	7079	0.85546875	0.993265993265993
TRIM51BP	8.65	4	399937	0.8447265625	0.98989898989899
CES1P2	8.49	5	390732	0.8291015625	0.986531986531986
MAOA	8.09	6	4128	0.7900390625	0.983164983164983
RN7SKP71	8.09	7	106479126	0.7900390625	0.97979797979798
GLDN	7.59	8	342035	0.7412109375	0.976430976430976
RNASE1	7.48	9	6035	0.73046875	0.973063973063973
5_8S_rRNA	7.34	10	5_8S_rRNA	0.716796875	0.96969696969697
RNA5-8SN1	7.31	11	106632260	0.7138671875	0.966329966329966
AC111000.4	7.28	12	AC111000.4	0.7109375	0.962962962962963
MIR3648-1	7.25	13	100500862	0.7080078125	0.95959595959596
RNA5-8SN3	7.24	14	109910381	0.70703125	0.956228956228956
RNA5-8SN2	7.24	15	109864281	0.70703125	0.952861952861953
AL645608.2	7.2	16	AL645608.2	0.703125	0.94949494949495
MIR3648-2	7.09	17	103504731	0.6923828125	0.946127946127946
IGLV3-25	6.87	18	28793	0.6708984375	0.942760942760943
VSIG4	6.85	19	11326	0.6689453125	0.939393939393939
RNVU1-7	6.79	20	26864	0.6630859375	0.936026936026936
IGHV1-24	6.73	21	28467	0.6572265625	0.932659932659933
IGHG1	6.72	22	3500	0.65625	0.929292929292929
CES1	6.53	23	1066	0.6376953125	0.925925925925926
RNU1-2	6.51	24	26870	0.6357421875	0.922558922558923
RNU1-3	6.47	25	26869	0.6318359375	0.919191919191919
RNU1-4	6.46	26	6060	0.630859375	0.915824915824916
FP671120.2	6.46	27	FP671120.2	0.630859375	0.912457912457912
IGHV1-69-2	6.45	28	28458	0.6298828125	0.909090909090909
FP236383.4	6.45	29	FP236383.4	0.6298828125	0.905723905723906
FP671120.6	6.45	30	FP671120.6	0.6298828125	0.902356902356902
FP236383.5	6.45	31	FP236383.5	0.6298828125	0.898989898989899
IGHV2-70	6.39	32	28454	0.6240234375	0.895622895622896
IGHV3-62	6.37	33	28416	0.6220703125	0.892255892255892
IGHV1-2	6.36	34	28474	0.62109375	0.888888888888889
RNVU1-18	6.33	35	26863	0.6181640625	0.885521885521885
FP671120.7	6.26	36	FP671120.7	0.611328125	0.882154882154882
CR392039.1	6.23	37	CR392039.1	0.6083984375	0.878787878787879
RNU4-1	6.17	38	26835	0.6025390625	0.875420875420875
AC104809.2	6.13	39	AC104809.2	0.5986328125	0.872053872053872
