PPIeid	PPIGenes	weight	PPIexlcudeGM	PPIidGM
10142	AKAP9	1	0	10142
10146	G3BP1	1	0	10146
10157	AASS	1	0	10157
10193	RNF41	1	0	10193
10199	MPHOSPH10	1	0	10199
10204	NUTF2	1	0	10204
10238	DCAF7	1	0	10238
10270	AKAP8	1	0	10270
10280	SIGMAR1	1	0	10280
10283	CWC27	1	0	10283
10295	BCKDK	1	0	10295
10426	TUBGCP3	1	0	10426
10463	SLC30A9	1	0	10463
10516	FBLN5	1	0	10516
10525	HYOU1	1	0	10525
10531	PITRM1	1	0	10531
10569	SLU7	1	0	10569
10577	NPC2	1	0	10577
1063	CENPF	1	0	1063
10632	ATP5L	1	0	10632
10844	TUBGCP2	1	0	10844
10890	RAB10	1	0	10890
10897	YIF1A	1	0	10897
10956	OS9	1	0	10956
10960	LMAN2	1	0	10960
11001	SLC27A2	1	0	11001
11064	CNTRL	1	0	11064
11101	ATE1	1	0	11101
11113	CIT	1	0	11113
11116	FGFR1OP	1	0	11116
11190	CEP250	1	0	11190
113174	SAAL1	1	0	113174
11340	EXOSC8	1	0	11340
1173	AP2M1	1	0	1173
126789	PUSL1	1	0	126789
1291	COL6A1	1	0	1291
131118	DNAJC19	1	0	131118
1312	COMT	1	0	1312
143888	KDELC2	1	0	143888
145282	MIPOL1	1	0	145282
1459	CSNK2A2	1	0	1459
1460	CSNK2B	1	0	1460
148867	SLC30A7	1	0	148867
1508	CTSB	1	0	1508
151188	ARL6IP6	1	0	151188
1514	CTSL	1	0	1514
152789	JAKMIP1	1	0	152789
159195	USP54	1	0	159195
161	AP2A2	1	0	161
162427	FAM134C	1	0	162427
166	AES	1	0	166
1662	DDX10	1	0	1662
169714	QSOX2	1	0	169714
1727	CYB5R3	1	0	1727
1786	DNMT1	1	0	1786
1861	TOR1A	1	0	1861
196527	ANO6	1	0	196527
2011	MARK2	1	0	2011
201134	CEP112	1	0	201134
202018	TAPT1	1	0	202018
2040	STOM	1	0	2040
2108	ETFA	1	0	2108
2150	F2RL1	1	0	2150
2181	ACSL3	1	0	2181
219743	TYSND1	1	0	219743
2200	FBN1	1	0	2200
2201	FBN2	1	0	2201
22931	RAB18	1	0	22931
22981	NINL	1	0	22981
23065	EMC1	1	0	23065
23071	ERP44	1	0	23071
23077	MYCBP2	1	0	23077
23085	ERC1	1	0	23085
23107	MRPS27	1	0	23107
23111	SPG20	1	0	23111
23155	CLCC1	1	0	23155
23177	CEP68	1	0	23177
23185	LARP4B	1	0	23185
23195	MDN1	1	0	23195
23203	PMPCA	1	0	23203
23225	NUP210	1	0	23225
23307	FKBP15	1	0	23307
23325	KIAA1033	1	0	23325
23333	DPY19L1	1	0	23333
23339	VPS39	1	0	23339
23367	LARP1	1	0	23367
23404	EXOSC2	1	0	23404
23408	SIRT5	1	0	23408
23476	BRD4	1	0	23476
23509	POFUT1	1	0	23509
23636	NUP62	1	0	23636
23646	PLD3	1	0	23646
23649	POLA2	1	0	23649
23765	IL17RA	1	0	23765
23787	MTCH1	1	0	23787
24149	ZNF318	1	0	24149
25777	SUN2	1	0	25777
25831	HECTD1	1	0	25831
25873	RPL36	1	0	25873
25921	ZDHHC5	1	0	25921
25940	FAM98A	1	0	25940
25980	AAR2	1	0	25980
25983	NGDN	1	0	25983
26058	GIGYF2	1	0	26058
26092	TOR1AIP1	1	0	26092
26355	FAM162A	1	0	26355
26515	TIMM10B	1	0	26515
26519	TIMM10	1	0	26519
26520	TIMM9	1	0	26520
26521	TIMM8B	1	0	26521
26574	AATF	1	0	26574
2671	GFER	1	0	2671
2677	GGCX	1	0	2677
26986	PABPC1	1	0	26986
26993	AKAP8L	1	0	26993
27069	GHITM	1	0	27069
2717	GLA	1	0	2717
27243	CHMP2A	1	0	27243
27248	ERLEC1	1	0	27248
27346	TMEM97	1	0	27346
27430	MAT2B	1	0	27430
2782	GNB1	1	0	2782
2787	GNG5	1	0	2787
2801	GOLGA2	1	0	2801
2802	GOLGA3	1	1	GOLGA3
2804	GOLGB1	1	0	2804
284106	CISD3	1	0	284106
286827	TRIM59	1	0	286827
2876	GPX1	1	0	2876
28969	BZW2	1	0	28969
28976	ACAD9	1	0	28976
29066	ZC3H7A	1	0	29066
29110	TBK1	1	0	29110
2963	GTF2F2	1	0	2963
29880	ALG5	1	0	29880
3066	HDAC2	1	0	3066
30968	STOML2	1	0	30968
3162	HMOX1	1	0	3162
3281	HSBP1	1	0	3281
34	ACADM	1	0	34
3416	IDE	1	0	3416
3615	IMPDH2	1	0	3615
3688	ITGB1	1	0	3688
382	ARF6	1	0	382
387	RHOA	1	0	387
4015	LOX	1	0	4015
4139	MARK1	1	0	4139
4140	MARK3	1	0	4140
4218	RAB8A	1	0	4218
4240	MFGE8	1	0	4240
4343	MOV10	1	0	4343
4363	ABCC1	1	0	4363
440138	ALG11	1	0	440138
4715	NDUFB9	1	0	4715
4758	NEU1	1	0	4758
481	ATP1B1	1	0	481
4884	NPTX1	1	0	4884
4927	NUP88	1	0	4927
4928	NUP98	1	0	4928
5046	PCSK6	1	0	5046
50999	TMED5	1	0	50999
51010	EXOSC3	1	0	51010
51091	SEPSECS	1	0	51091
51097	SCCPDH	1	0	51097
51103	NDUFAF1	1	0	51103
51116	MRPS2	1	0	51116
51125	GOLGA7	1	0	51125
5116	PCNT	1	0	5116
51199	NIN	1	0	51199
51248	PDZD11	1	0	51248
51295	ECSIT	1	0	51295
51361	HOOK1	1	0	51361
51439	FAM8A1	1	0	51439
51552	RAB14	1	0	51552
51574	LARP7	1	0	51574
51611	DPH5	1	0	51611
51661	FKBP7	1	0	51661
523	ATP6V1A	1	0	523
5318	PKP2	1	0	5318
5327	PLAT	1	0	5327
53347	CLIP4	1	0	53347
53371	NUP54	1	0	53371
5352	PLOD2	1	0	5352
537	ATP6AP1	1	0	537
53938	PPIL3	1	0	53938
5422	POLA1	1	0	5422
54439	ZC3H18	1	0	54439
5447	POR	1	0	5447
54477	PLEKHA5	1	0	54477
54480	CHPF2	1	0	54480
54602	NDFIP2	1	0	54602
54850	FBXL12	1	0	54850
55027	HEATR3	1	0	55027
55116	TMEM39B	1	0	55116
55131	RBM28	1	0	55131
55206	SBNO1	1	0	55206
55285	RBM41	1	0	55285
5538	PPT1	1	0	5538
5557	PRIM1	1	0	5557
5558	PRIM2	1	0	5558
55621	TRMT1	1	0	55621
5566	PRKACA	1	0	5566
55676	SLC30A6	1	0	55676
55700	MAP7D1	1	0	55700
55711	FAR2	1	0	55711
55735	DNAJC11	1	0	55735
55755	CDK5RAP2	1	0	55755
55757	UGGT2	1	0	55757
5576	PRKAR2A	1	0	5576
55768	NGLY1	1	0	55768
5577	PRKAR2B	1	0	5577
55823	VPS11	1	0	55823
55829	VIMP	1	0	55829
55833	UBAP2	1	0	55833
56257	MEPCE	1	0	56257
56605	ERO1B	1	0	56605
56850	GRIPAP1	1	0	56850
56915	EXOSC5	1	0	56915
57106	NAT14	1	0	57106
5714	PSMD8	1	0	5714
57142	RTN4	1	0	57142
57153	SLC44A2	1	0	57153
57222	ERGIC1	1	0	57222
57534	MIB1	1	0	57534
58155	PTBP2	1	0	58155
5817	PVR	1	0	5817
5861	RAB1A	1	0	5861
5862	RAB2A	1	0	5862
5878	RAB5C	1	0	5878
5898	RALA	1	0	5898
5910	RAP1GDS1	1	0	5910
59272	ACE2	1	0	59272
5962	RDX	1	0	5962
5976	UPF1	1	0	5976
6046	BRD2	1	0	6046
60493	FASTKD5	1	0	60493
60681	FKBP10	1	0	60681
617	BCS1L	1	0	617
6388	SDF2	1	0	6388
64093	SMOC1	1	0	64093
64374	SIL1	1	0	64374
64432	MRPS25	1	0	64432
64689	GORASP1	1	0	64689
64757	MARC1	1	0	64757
64784	CRTC3	1	0	64784
64969	MRPS5	1	0	64969
6728	SRP19	1	0	6728
6729	SRP54	1	0	6729
6731	SRP72	1	0	6731
6902	TBCA	1	0	6902
6921	TCEB1	1	0	6921
6923	TCEB2	1	0	6923
6938	TCF12	1	0	6938
7088	TLE1	1	0	7088
7090	TLE3	1	0	7090
7113	TMPRSS2	1	0	7113
7458	EIF4H	1	0	7458
7466	WFS1	1	0	7466
7468	NSD2	1	0	7468
7812	CSDE1	1	0	7812
7841	MOGS	1	0	7841
7879	RAB7A	1	0	7879
7905	REEP5	1	0	7905
79053	ALG8	1	0	79053
79070	KDELC1	1	0	79070
79077	DCTPP1	1	0	79077
79078	C1orf50	1	0	79078
79080	CCDC86	1	0	79080
79178	THTPA	1	0	79178
79443	FYCO1	1	0	79443
79571	GCC1	1	0	79571
79572	ATP13A3	1	0	79572
79586	CHPF	1	0	79586
79666	PLEKHF2	1	0	79666
79671	NLRX1	1	0	79671
79699	ZYG11B	1	0	79699
79709	COLGALT1	1	0	79709
79731	NARS2	1	0	79731
79753	SNIP1	1	0	79753
79877	DCAKD	1	0	79877
7993	UBXN8	1	0	7993
79934	ADCK4	1	0	79934
79954	NOL10	1	0	79954
79956	ERMP1	1	0	79956
80020	FOXRED2	1	0	80020
80142	PTGES2	1	0	80142
8021	NUP214	1	0	8021
80213	TM2D3	1	0	80213
80222	TARS2	1	0	80222
80267	EDEM3	1	0	80267
