Proteins	fd	P_value	P_value_adjust	eid_test	abslogFC	rank	weightFC	weightR
P0DJI8	3.660757851	4.90068e-05	0.00079111	6288	3.660757851	1	1	1
P0DJI9	3.597802503	5.05662e-05	0.000799958	6289	3.597802503	2	0.982802646183548	0.991666666666667
P02741	2.412282212	0.000299053	0.003032706	1401	2.412282212	3	0.658957054846182	0.983333333333333
P84243	1.739449888	0.001489636	0.011439828	3020	1.739449888	4	0.475161143893972	0.975
Q16777	1.687145241	0.001155065	0.009136566	8338	1.687145241	5	0.460873215238513	0.966666666666667
P37802	-1.498159048	6.71673e-06	0.0001373	8407	1.498159048	6	0.409248332989507	0.958333333333333
P21333	-1.482503482	0.00088077	0.007182364	2316	1.482503482	7	0.404971741464688	0.95
P62805	1.427928734	0.003806536	0.024282017	8294	1.427928734	8	0.390063695037883	0.941666666666667
P00738	1.419607961	2.86524e-07	9.88794e-06	3240	1.419607961	9	0.387790730439111	0.933333333333333
P18428	1.406993168	2.19791e-09	2.48364e-07	3929	1.406993168	10	0.384344779214406	0.925
Q5SYB0	1.394859278	4.19027e-07	1.38104e-05	22844	1.394859278	11	0.381030195050724	0.916666666666667
P02748	1.286834403	1.12353e-14	8.88709e-12	735	1.286834403	12	0.351521312082546	0.908333333333333
P01011	1.232228931	7.0338e-08	3.09096e-06	12	1.232228931	13	0.33660487285806	0.9
P02763	1.22506231	1.18591e-08	6.70036e-07	5004	1.22506231	14	0.334647185053596	0.891666666666667
Q5QNW6	1.1663289	0.001911075	0.013742367	440689	1.1663289	15	0.318603127404725	0.883333333333333
P11597	-1.111455055	2.87513e-07	9.88794e-06	1071	1.111455055	16	0.303613377403913	0.875
P02743	1.077508763	0.000601682	0.005347536	325	1.077508763	17	0.294340354335554	0.866666666666667
P06727	-0.979836574	9.31123e-09	6.13765e-07	337	0.979836574	18	0.267659488521575	0.858333333333333
P07996	-0.969295861	3.10963e-08	1.53733e-06	7057	0.969295861	19	0.264780108505461	0.85
P02750	0.928326521	7.38193e-05	0.001081316	116844	0.928326521	20	0.25358861710736	0.841666666666667
Q08380	0.923429228	0.001711429	0.012685943	3959	0.923429228	21	0.252250835915779	0.833333333333333
P05155	0.923081801	9.30087e-10	1.4714e-07	710	0.923081801	22	0.252155930157425	0.825
P04196	-0.838582606	3.54235e-08	1.64824e-06	3273	0.838582606	23	0.229073497929104	0.816666666666667
Q06033	0.795530798	0.000109793	0.001400746	3699	0.795530798	24	0.217313143993582	0.808333333333333
P04275	0.784517128	3.8359e-09	3.79274e-07	7450	0.784517128	25	0.214304567505249	0.8
P02671	0.719979867	0.003329418	0.02176504	2243	0.719979867	26	0.196675086499733	0.791666666666667
P51884	-0.71373643	5.9427e-09	4.27334e-07	4060	0.71373643	27	0.194969582542869	0.783333333333333
Q9NQ79	-0.685198512	4.84559e-09	4.25873e-07	55118	0.685198512	28	0.187173951375349	0.775
P10720	-0.671853249	0.000166807	0.001969324	5197	0.671853249	29	0.18352845950094	0.766666666666667
P78563	0.6657066	0.003632687	0.023361428	104	0.6657066	30	0.181849394878208	0.758333333333333
Q9UHG3	-0.664710452	1.01447e-08	6.17268e-07	51449	0.664710452	31	0.181577279638538	0.75
P62937	-0.662546798	0.000348239	0.003318759	5478	0.662546798	32	0.180986239726021	0.741666666666667
P13796	0.637283949	7.78359e-05	0.001119421	3936	0.637283949	33	0.174085250906698	0.733333333333333
P49747	-0.632688761	6.26957e-06	0.000134033	1311	0.632688761	34	0.172829994976906	0.725
Q14520	0.628779523	5.64895e-10	1.4714e-07	3026	0.628779523	35	0.171762118280573	0.716666666666667
P06681	0.618025745	2.66455e-07	9.88794e-06	717	0.618025745	36	0.168824535835162	0.708333333333333
P35542	0.604916924	5.5433e-07	1.68644e-05	6291	0.604916924	37	0.16524363222625	0.7
P22792	0.596655845	1.60421e-09	2.11489e-07	1370	0.596655845	38	0.162986974087077	0.691666666666667
P08571	0.5895217	1.17329e-05	0.000215831	929	0.5895217	39	0.161038157669719	0.683333333333333
Q9BXR6	0.588907315	0.000260872	0.002788506	81494	0.588907315	40	0.160870327667024	0.675
P02749	-0.584579668	2.52391e-07	9.88794e-06	350	0.584579668	41	0.159688155238214	0.666666666666667
P13671	0.576876157	5.65776e-09	4.27334e-07	729	0.576876157	42	0.15758380654498	0.658333333333333
P19652	0.571000278	7.17013e-07	1.95964e-05	5005	0.571000278	43	0.155978707481026	0.65
P05452	-0.566069299	1.1151e-05	0.00021001	7123	0.566069299	44	0.154631724369687	0.641666666666667
P61769	0.563128559	0.000172907	0.001982162	567	0.563128559	45	0.15382840983218	0.633333333333333
Q96PD5	-0.558055648	8.00176e-10	1.4714e-07	114770	0.558055648	46	0.152442655513955	0.625
P02753	-0.555833616	1.02516e-05	0.000202724	5950	0.555833616	47	0.151835668630244	0.616666666666667
Q86UD1	0.551569958	0.000423753	0.003852745	220323	0.551569958	48	0.150670975915364	0.608333333333333
P00338	0.549637882	0.002061426	0.014558821	3939	0.549637882	49	0.150143195581717	0.6
P29622	-0.533781906	2.67238e-06	6.60579e-05	5267	0.533781906	50	0.14581185856207	0.591666666666667
O14791	0.533298253	3.50678e-05	0.000590184	8542	0.533298253	51	0.145679740290476	0.583333333333333
P02765	-0.531020002	7.0352e-07	1.95964e-05	197	0.531020002	52	0.145057396204161	0.575
P35443	-0.523547983	0.001976929	0.014087846	7060	0.523547983	53	0.143016283597393	0.566666666666667
Q92954	0.515500893	0.000333645	0.00321845	10216	0.515500893	54	0.140818080294271	0.558333333333333
Q9Y5Y7	-0.512857687	6.88195e-05	0.001027099	10894	0.512857687	55	0.140096042369998	0.55
P02787	-0.507486353	1.32307e-07	5.50815e-06	7018	0.507486353	56	0.138628768592648	0.541666666666667
P03951	0.50420915	7.18451e-07	1.95964e-05	2160	0.50420915	57	0.137733543305047	0.533333333333333
