Peid	Pprotein	PexlcudeGM	PidGM	weightFC.P	weightR.P
12	P01011	0	12	0.33660487285806	0.9
104	P78563	0	104	0.181849394878208	0.758333333333333
173	P43652	0	173	0.0986453099872079	0.2
183	P01019	0	183	0.0906033407561761	0.141666666666667
197	P02765	0	197	0.145057396204161	0.575
213	P02768	0	213	0.105929693190187	0.291666666666667
325	P02743	0	325	0.294340354335554	0.866666666666667
335	P02647	0	335	0.107985770457889	0.308333333333333
336	P02652	0	336	0.107431938414765	0.3
337	P06727	0	337	0.267659488521575	0.858333333333333
350	P02749	0	350	0.159688155238214	0.666666666666667
567	P61769	0	567	0.15382840983218	0.633333333333333
629	P00751	0	629	0.137446394839406	0.516666666666667
710	P05155	0	710	0.252155930157425	0.825
717	P06681	0	717	0.168824535835162	0.708333333333333
720	P0C0L4	0	720	0.121873879442238	0.416666666666667
722	P04003	0	722	0.128091434638844	0.475
727	P01031	0	727	0.101760472602207	0.258333333333333
729	P13671	0	729	0.15758380654498	0.658333333333333
731	P07357	0	731	0.0693613189767902	0.0166666666666667
735	P02748	0	735	0.351521312082546	0.908333333333333
866	P08185	0	866	0.100992425079142	0.241666666666667
929	P08571	0	929	0.161038157669719	0.683333333333333
960	P16070	0	960	0.0911400121449879	0.15
966	P13987	0	966	0.0877708209823901	0.125
1071	P11597	0	1071	0.303613377403913	0.875
1311	P49747	0	1311	0.172829994976906	0.725
1356	P00450	0	1356	0.0847971230643411	0.116666666666667
1369	P15169	0	1369	0.101416037091496	0.25
1370	P22792	0	1370	0.162986974087077	0.691666666666667
1399	P46109	0	1399	0.134618447342913	0.5
1401	P02741	0	1401	0.658957054846182	0.983333333333333
2022	P17813	0	2022	0.0834759357045493	0.1
2153	P12259	0	2153	0.122670193243546	0.433333333333333
2160	P03951	0	2160	0.137733543305047	0.533333333333333
2202	Q12805	0	2202	0.0703139930246099	0.0333333333333333
2220	Q15485	0	2220	0.129800827134796	0.483333333333333
2243	P02671	0	2243	0.196675086499733	0.791666666666667
2316	P21333	0	2316	0.404971741464688	0.95
2335	P02751	0	2335	0.1122390851085	0.333333333333333
2811	P07359	0	2811	0.11773760203294	0.391666666666667
2814	P40197	0	2814	0.103847843663342	0.283333333333333
2822	P80108	0	2822	0.123407609950653	0.458333333333333
2896	P28799	0	2896	0.137646714835933	0.525
2934	P06396	1	GSN	0.116157613343325	0.383333333333333
3020	P84243	0	3020	0.475161143893972	0.975
3026	Q14520	0	3026	0.171762118280573	0.716666666666667
3083	Q04756	0	3083	0.0882513927851711	0.133333333333333
3240	P00738	0	3240	0.387790730439111	0.933333333333333
3273	P04196	0	3273	0.229073497929104	0.816666666666667
3309	P11021	0	3309	0.0801865523336414	0.0833333333333333
3426	P05156	0	3426	0.0726136818711968	0.05
3481	P01344	0	3481	0.127620290938495	0.466666666666667
3486	P17936	0	3486	0.115377839559812	0.375
3488	P24593	0	3488	0.136551758227726	0.508333333333333
3697	P19827	0	3697	0.0703131268105283	0.025
3698	P19823	0	3698	0.112932466671366	0.341666666666667
3699	Q06033	0	3699	0.217313143993582	0.808333333333333
3700	Q14624	0	3700	0.0992383923729786	0.208333333333333
3929	P18428	0	3929	0.384344779214406	0.925
3931	P04180	0	3931	0.0949027357559575	0.191666666666667
3936	P13796	0	3936	0.174085250906698	0.733333333333333
3939	P00338	0	3939	0.150143195581717	0.6
3945	P07195	0	3945	0.103640659241189	0.275
3959	Q08380	0	3959	0.252250835915779	0.833333333333333
4060	P51884	0	4060	0.194969582542869	0.783333333333333
4121	P33908	0	4121	0.09289414155244	0.175
4811	P14543	0	4811	0.0804100994878943	0.0916666666666667
5004	P02763	0	5004	0.334647185053596	0.891666666666667
5005	P19652	0	5005	0.155978707481026	0.65
5118	Q15113	0	5118	0.122142136464409	0.425
5176	P36955	0	5176	0.0714843026092304	0.0416666666666667
5196	P02776	0	5196	0.0913467540358216	0.158333333333333
5197	P10720	0	5197	0.18352845950094	0.766666666666667
5199	P27918	0	5199	0.109680101864787	0.316666666666667
5216	P07737	0	5216	0.100847015297434	0.233333333333333
5265	P01009	0	5265	0.11324460040064	0.35
5267	P29622	0	5267	0.14581185856207	0.591666666666667
5360	P55058	0	5360	0.077213201884628	0.0583333333333333
5473	P02775	0	5473	0.0846783878139663	0.108333333333333
5478	P62937	0	5478	0.180986239726021	0.741666666666667
5817	P15151	0	5817	0.11512553333318	0.366666666666667
5950	P02753	0	5950	0.151835668630244	0.616666666666667
6288	P0DJI8	0	6288	1	1
6289	P0DJI9	0	6289	0.982802646183548	0.991666666666667
6291	P35542	0	6291	0.16524363222625	0.7
6678	P09486	0	6678	0.102190856163242	0.266666666666667
7018	P02787	0	7018	0.138628768592648	0.541666666666667
7057	P07996	0	7057	0.264780108505461	0.85
7060	P35443	0	7060	0.143016283597393	0.566666666666667
7123	P05452	0	7123	0.154631724369687	0.641666666666667
7148	P22105	0	7148	0.118022582914622	0.4
7412	P19320	0	7412	0.0801086487924601	0.075
7448	P04004	0	7448	0.0778586278035684	0.0666666666666667
7450	P04275	0	7450	0.214304567505249	0.8
8294	P62805	0	8294	0.390063695037883	0.941666666666667
8338	Q16777	0	8338	0.460873215238513	0.966666666666667
8407	P37802	0	8407	0.409248332989507	0.958333333333333
8542	O14791	0	8542	0.145679740290476	0.583333333333333
8836	Q92820	0	8836	0.122740665263412	0.441666666666667
10216	Q92954	0	10216	0.140818080294271	0.558333333333333
10321	P54108	0	10321	0.1148970000529	0.358333333333333
10894	Q9Y5Y7	0	10894	0.140096042369998	0.55
10960	Q12907	0	10960	0.099541163560015	0.216666666666667
22844	Q5SYB0	0	22844	0.381030195050724	0.916666666666667
22915	Q13201	0	22915	0.121303392104642	0.408333333333333
28409	A0A0B4J1V6	1	NA	0.100265902837505	0.225
51156	Q9UK55	0	51156	0.122867124324307	0.45
51279	Q9NZP8	0	51279	0.111036746363588	0.325
51449	Q9UHG3	0	51449	0.181577279638538	0.75
55118	Q9NQ79	0	55118	0.187173951375349	0.775
55937	O95445	0	55937	0.0683362637415812	0.00833333333333333
81494	Q9BXR6	0	81494	0.160870327667024	0.675
84898	Q6UX71	0	84898	0.0920610383743189	0.166666666666667
114770	Q96PD5	0	114770	0.152442655513955	0.625
116844	P02750	0	116844	0.25358861710736	0.841666666666667
220323	Q86UD1	0	220323	0.150670975915364	0.608333333333333
387707	Q6DHV5	0	387707	0.133926250780579	0.491666666666667
389898	Q5JXB2	1	NA	0.0944577456565564	0.183333333333333
440689	Q5QNW6	0	440689	0.318603127404725	0.883333333333333
