Meid	MexlcudeGM	MidGM	Upstream.regulator.M	weightR.M
100506465	1	NA	LINC01234	0.65
10558	0	10558	SPTLC1	0.325
10715	0	10715	CERS1	0.45
1435	0	1435	CSF1	0.625
1734	0	1734	DIO2	0.025
1956	0	1956	EGFR	1
2064	0	2064	ERBB2	0.35
2078	0	2078	ERG	0.875
27165	0	27165	GLS2	0.05
27178	0	27178	IL37	0.9
27232	0	27232	GNMT	0.8
2744	0	2744	GLS	0.475
2890	0	2890	GRIA1	0.275
3064	0	3064	HTT	0.975
383	0	383	ARG1	0.725
4137	0	4137	MAPT	0.1
427	0	427	ASAH1	0.15
4693	0	4693	NDP	0.4
51548	0	51548	SIRT6	0.225
57521	0	57521	RPTOR	0.925
6310	0	6310	ATXN1	0.425
635	0	635	BHMT	0.175
6535	0	6535	SLC6A8	0.575
6794	0	6794	STK11	0.6
6927	0	6927	HNF1A	0.775
6999	0	6999	TDO2	0.7
7038	0	7038	TG	0.75
7161	0	7161	TP73	0.5
7350	0	7350	UCP1	0.85
79603	0	79603	CERS4	0.525
8564	0	8564	KMO	0.075
8864	0	8864	PER2	0.375
8877	0	8877	SPHK	0.675
9356	0	9356	SLC22A6	0.95
9429	0	9429	ABCG2	0.25
Lao1	1	NA	Lao1	0.3
NMDAR	1	NA	NMDAR	0.125
NPM1-ALK	1	NA	NPM1-ALK	0.825
NTSC2	1	NA	NTSC2	0.55
TP43	1	NA	TP43	0.2
