Beid	BexlcudeGM	BidGM	gene.BB	gene.BP	gene.B15	Bgene
1000	0	1000	NA	NA	CDH2	CDH2
100049587	0	100049587	NA	NA	SIGLEC14	SIGLEC14
100129641	1	NA	NA	BTG1P1	NA	BTG1P1
10013	0	10013	HDAC6	NA	NA	HDAC6
100130074	1	NA	NA	KRT17P8	NA	KRT17P8
100131017	0	100131017	ZNF316	NA	NA	ZNF316
100131366	1	NA	NA	NA	LINC00605	LINC00605
100151683	1	NA	NA	NA	RNU4ATAC	RNU4ATAC
100151684	1	NA	NA	NA	RNU6ATAC	RNU6ATAC
10026	0	10026	PIGK	NA	NA	PIGK
100287887	1	NA	RPL13AP25	NA	NA	RPL13AP25
100420875	1	NA	FAM204BP	NA	NA	FAM204BP
100421865	1	NA	NA	EEF1A1P3	NA	EEF1A1P3
100462977	0	100462977	MTRNR2L1	NA	NA	MTRNR2L1
100463486	0	100463486	MTRNR2L8	NA	NA	MTRNR2L8
100463498	1	MTRNR2L12	MTRNR2L12	NA	NA	MTRNR2L12
100499405	1	NA	NA	LINC00987	NA	LINC00987
100500862	1	NA	NA	MIR3648-1	NA	MIR3648-1
100505633	1	NA	LINC01133	NA	NA	LINC01133
100505989	1	NA	SMIM31	NA	NA	SMIM31
100506860	1	NA	NA	LINC00513	NA	LINC00513
100507195	1	NA	NA	LINC02384	NA	LINC02384
100507533	1	NA	SOX21-AS1	NA	NA	SOX21-AS1
100507612	1	NA	NA	LINC00402	NA	LINC00402
10066	0	10066	SCAMP2	NA	NA	SCAMP2
100874019	1	NA	KLHL6-AS1	NA	NA	KLHL6-AS1
100874241	1	NA	STARD13-AS	NA	NA	STARD13-AS
100887749	1	NA	MTND1P23	NA	NA	MTND1P23
10099	0	10099	TSPAN3	NA	NA	TSPAN3
101055625	1	NA	NA	OVCH1-AS1	NA	OVCH1-AS1
10120	0	10120	NA	NA	ACTR1B	ACTR1B
10130	0	10130	PDIA6	NA	NA	PDIA6
10155	0	10155	TRIM28	NA	NA	TRIM28
10205	0	10205	MPZL2	NA	NA	MPZL2
10219	0	10219	NA	KLRG1	NA	KLRG1
10253	0	10253	NA	SPRY2	NA	SPRY2
10261	0	10261	NA	NA	IGSF6	IGSF6
102723168	1	NA	NA	IGHV2-70D	NA	IGHV2-70D
1028	0	1028	NA	CDKN1C	NA	CDKN1C
10321	0	10321	CRISP3	NA	NA	CRISP3
10326	0	10326	NA	NA	SIRPB1	SIRPB1
103504731	1	NA	NA	MIR3648-2	NA	MIR3648-2
1038	0	1038	NA	NA	CDR1	CDR1
10392	0	10392	NA	NA	NOD1	NOD1
10411	0	10411	NA	NA	RAPGEF3	RAPGEF3
10457	0	10457	NA	GPNMB	NA	GPNMB
1048	0	1048	CEACAM5	NA	NA	CEACAM5
10529	0	10529	NA	NA	NEBL	NEBL
10581	0	10581	NA	NA	IFITM2	IFITM2
10618	0	10618	TGOLN2	NA	NA	TGOLN2
10642	0	10642	NA	NA	ZBP1	ZBP1
106479126	1	NA	NA	RN7SKP71	NA	RN7SKP71
106481929	1	NA	NA	RNU6-1010P	NA	RNU6-1010P
1066	0	1066	NA	CES1	NA	CES1
106632260	1	NA	NA	RNA5-8SN1	NA	RNA5-8SN1
10673	0	10673	NA	NA	TNFSF13B	TNFSF13B
107075214	1	NA	MTCO2P11	NA	NA	MTCO2P11
1080	0	1080	CFTR	NA	NA	CFTR
10809	0	10809	NA	NA	STARD10	STARD10
10814	0	10814	NA	NA	CPLX2	CPLX2
1084	0	1084	NA	NA	CEACAM3	CEACAM3
10865	0	10865	ARID5A	NA	NA	ARID5A
10869	0	10869	USP19	NA	NA	USP19
10908	0	10908	PNPLA6	NA	NA	PNPLA6
10911	0	10911	UTS2	NA	NA	UTS2
10915	0	10915	NA	NA	TCERG1	TCERG1
109616976	1	NA	SNORA79B	NA	NA	SNORA79B
10964	0	10964	NA	NA	IFI44L	IFI44L
109864281	1	NA	NA	RNA5-8SN2	NA	RNA5-8SN2
109910381	1	NA	NA	RNA5-8SN3	NA	RNA5-8SN3
11005	0	11005	SPINK5	NA	NA	SPINK5
11025	1	LILRB3 	NA	NA	LILRA6	LILRA6
11029	1	NA	SERPINB11	NA	NA	SERPINB11
11057	0	11057	ABHD2	NA	NA	ABHD2
11098	0	11098	NA	PRSS23	NA	PRSS23
1116	0	1116	NA	CHI3L1	CHI3L1	CHI3L1
1117	0	1117	NA	NA	CHI3L2	CHI3L2
112	0	112	NA	NA	ADCY6	ADCY6
11227	0	11227	GALNT5	NA	NA	GALNT5
11240	0	11240	NA	NA	PADI2	PADI2
11251	0	11251	NA	PTGDR2	NA	PTGDR2
11253	0	11253	MAN1B1	NA	NA	MAN1B1
11262	0	11262	NA	NA	SP140	SP140
113	0	113	ADCY7	NA	NA	ADCY7
11309	0	11309	SLCO2B1	NA	NA	SLCO2B1
11322	0	11322	TMC6	NA	NA	TMC6
11326	0	11326	NA	VSIG4	NA	VSIG4
113730	0	113730	NA	NA	KLHDC7B	KLHDC7B
113791	0	113791	NA	NA	PIK3IP1	PIK3IP1
114132	0	114132	NA	SIGLEC11	NA	SIGLEC11
114569	0	114569	MAL2	NA	NA	MAL2
114769	0	114769	NA	NA	CARD16	CARD16
114785	0	114785	MBD6	NA	NA	MBD6
115330	0	115330	NA	NA	GPR146	GPR146
115362	0	115362	NA	NA	GBP5	GBP5
116149	1	NA	RPL12P4	NA	NA	RPL12P4
116369	0	116369	NA	NA	SLC26A8	SLC26A8
116448	0	116448	NA	NA	OLIG1	OLIG1
116730	1	NA	RPL37P2	NA	NA	RPL37P2
116985	0	116985	ARAP1	NA	NA	ARAP1
116987	0	116987	NA	AGAP1	NA	AGAP1
1178	0	1178	NA	CLC	CLC	CLC
118932	0	118932	NA	NA	ANKRD22	ANKRD22
121227	0	121227	LRIG3	NA	NA	LRIG3
122046	0	122046	TEX26	NA	NA	TEX26
123096	0	123096	NA	NA	SLC25A29	SLC25A29
1232	0	1232	NA	CCR3	NA	CCR3
123872	0	123872	NA	NA	DNAAF1	DNAAF1
124221	1	NA	NA	PRSS30P	NA	PRSS30P
124565	0	124565	SLC38A10	NA	NA	SLC38A10
126393	0	126393	NA	NA	HSPB6	HSPB6
127435	0	127435	NA	NA	PODN	PODN
128553	0	128553	NA	TSHZ2	NA	TSHZ2
130617	0	130617	NA	NA	ZFAND2B	ZFAND2B
131405	0	131405	NA	TRIM71	NA	TRIM71
131540	0	131540	NA	NA	ZDHHC19	ZDHHC19
132724	0	132724	TMPRSS11B	NA	NA	TMPRSS11B
134187	0	134187	POU5F2	NA	NA	POU5F2
134266	0	134266	NA	NA	GRPEL2	GRPEL2
1359	0	1359	NA	CPA3	NA	CPA3
1374	0	1374	CPT1A	NA	NA	CPT1A
1397	0	1397	NA	CRIP2	NA	CRIP2
1408	0	1408	NA	NA	CRY2	CRY2
1428	0	1428	CRYM	NA	NA	CRYM
1441	0	1441	NA	NA	CSF3R	CSF3R
144571	1	NA	NA	A2M-AS1	NA	A2M-AS1
146225	0	146225	NA	CMTM2	NA	CMTM2
1475	0	1475	NA	NA	CSTA	CSTA
147646	0	147646	NA	C19orf84	NA	C19orf84
1489	0	1489	NA	NA	CTF1	CTF1
151278	0	151278	NA	NA	CCDC140	CCDC140
152503	0	152503	SH3D19	NA	NA	SH3D19
1535	0	1535	CYBA	NA	NA	CYBA
156	0	156	GRK2	NA	NA	GRK2
1577	0	1577	NA	NA	CYP3A5	CYP3A5
157983	0	157983	NA	NA	C9orf66	C9orf66
1588	0	1588	NA	NA	CYP19A1	CYP19A1
160492	0	160492	LMNTD1	NA	NA	LMNTD1
161742	0	161742	NA	NA	SPRED1	SPRED1
1650	0	1650	DDOST	NA	NA	DDOST
166	0	166	TLE5	NA	NA	TLE5
166824	0	166824	RASSF6	NA	NA	RASSF6
169611	0	169611	NA	OLFML2A	NA	OLFML2A
170371	0	170371	TMEM273	NA	NA	TMEM273
1773	0	1773	NA	NA	DNASE1	DNASE1
1839	0	1839	HBEGF	NA	NA	HBEGF
1946	0	1946	NA	EFNA5	NA	EFNA5
1956	0	1956	EGFR	NA	NA	EGFR
1960	0	1960	NA	EGR3	NA	EGR3
196410	0	196410	METTL7B	NA	METTL7B	METTL7B
2	0	2	NA	A2M	NA	A2M
200014	0	200014	NA	NA	CC2D1B	CC2D1B
200315	0	200315	NA	NA	APOBEC3A	APOBEC3A
2004	0	2004	NA	NA	ELK3	ELK3
202309	0	202309	NA	NA	GAPT	GAPT
2045	0	2045	NA	NA	EPHA7	EPHA7
2047	0	2047	NA	EPHB1	NA	EPHB1
207	0	207	AKT1	NA	NA	AKT1
2108	0	2108	NA	NA	MADD	MADD
2138	0	2138	EYA1	NA	NA	EYA1
219285	0	219285	NA	NA	SAMD9L	SAMD9L
2203	0	2203	FBP1	NA	NA	FBP1
220441	0	220441	RNF152	NA	NA	RNF152
2207	0	2207	NA	NA	FCER1G	FCER1G
2215	0	2215	NA	NA	FCGR3B	FCGR3B
2219	0	2219	NA	NA	FCN1	FCN1
222389	0	222389	BEND7	NA	NA	BEND7
222553	0	222553	NA	NA	SLC35F1	SLC35F1
222584	0	222584	FAM83B	NA	NA	FAM83B
222658	0	222658	NA	NA	KCTD20	KCTD20
22797	0	22797	NA	NA	TFEC	TFEC
22802	0	22802	CLCA4	NA	NA	CLCA4
22846	0	22846	VASH1	NA	NA	VASH1
22870	0	22870	PPP6R1	NA	NA	PPP6R1
22891	0	22891	NA	ZNF365	NA	ZNF365
22895	0	22895	NA	NA	RPH3A	RPH3A
22899	0	22899	NA	NA	ARHGEF15	ARHGEF15
22906	0	22906	NA	NA	TRAK1	TRAK1
22980	0	22980	NA	NA	TCF25	TCF25
22999	0	22999	RIMS1	NA	NA	RIMS1
23053	0	23053	NA	NA	ZSWIM8	ZSWIM8
23061	0	23061	TBC1D9B	NA	NA	TBC1D9B
23086	0	23086	EXPH5	NA	NA	EXPH5
23127	0	23127	NA	COLGALT2	NA	COLGALT2
23152	0	23152	CIC	NA	NA	CIC
2316	0	2316	FLNA	NA	NA	FLNA
23187	0	23187	NA	NA	PHLDB1	PHLDB1
23192	0	23192	NA	NA	ATG4B	ATG4B
23193	0	23193	GANAB	NA	NA	GANAB
2322	0	2322	NA	FLT3	NA	FLT3
23220	0	23220	NA	NA	DTX4	DTX4
23225	0	23225	NUP210	NA	NA	NUP210
23252	0	23252	NA	NA	OTUD3	OTUD3
23266	0	23266	ADGRL2	NA	NA	ADGRL2
2327	0	2327	FMO2	NA	NA	FMO2
23277	0	23277	CLUH	NA	NA	CLUH
23321	0	23321	TRIM2	NA	NA	TRIM2
2335	0	2335	NA	FN1	NA	FN1
