,taxID,Virus,exact_match,loose_match,drugs_exact,drugs_loose,Host_parsed,Human_host
16,3702,Mouse-ear cress (arath),0,0,NA,NA,Non-Viral_Viridiplantae,0
27,4565,Wheat (wheat),0,0,NA,NA,Non-Viral_Viridiplantae,0
33,3677,Trichosanthes kirilowii (triki),0,0,NA,NA,Non-Viral_Viridiplantae,0
59,3847,Soybean (soybn),0,0,NA,NA,Non-Viral_Viridiplantae,0
67,3649,Carica papaya (papaya),0,0,NA,NA,Non-Viral_Viridiplantae,0
88,3818,Peanut (arahy),0,0,NA,NA,Non-Viral_Viridiplantae,0
92,3055,Chlamydomonas reinhardtii (chlre),0,0,NA,NA,Non-Viral_Viridiplantae,0
115,4577,Maize (maize),0,0,NA,NA,Non-Viral_Viridiplantae,0
230,3823,Jack bean (canen),0,0,NA,NA,Non-Viral_Viridiplantae,0
256,195583,Solanum lycopersicum var. cerasiforme (solanum lycopersicum var. cerasiforme),0,0,NA,NA,Non-Viral_Viridiplantae,0
306,3988,Ricinus communis (castor bean),0,0,NA,NA,Non-Viral_Viridiplantae,0
488,3858,Lathyrus ochrus (latoc),0,0,NA,NA,Non-Viral_Viridiplantae,0
510,49577,Crepe ginger (cossp),0,0,NA,NA,Non-Viral_Viridiplantae,0
522,13821,Pteris vittata (ptevi),0,0,NA,NA,Non-Viral_Viridiplantae,0
1,9606,Homo sapiens (human),1,1,"""Refer to human drugs.txt""","""Refer to human drugs.txt""",Non-Viral_Metazoa,0
2,6239,Caenorhabditis elegans (caeel),1,1,DB00848;DB00848;DB00848;DB00848,DB00848;DB00848;DB00848;DB00848,Non-Viral_Metazoa,0
3,10090,Mus musculus (mouse),1,1,DB08837;DB09130;DB11160,DB08837;DB09130;DB11160,Non-Viral_Metazoa,0
4,10141,Guinea pig (cavpo),0,0,NA,NA,Non-Viral_Metazoa,0
5,8090,Medaka fish (oryla),0,0,NA,NA,Non-Viral_Metazoa,0
8,8355,African clawed frog (xenla),0,0,NA,NA,Non-Viral_Metazoa,0
9,9940,Sheep (sheep),0,0,NA,NA,Non-Viral_Metazoa,0
10,10116,Rat (rat),1,1,DB00321;DB00540;DB00656;DB00726,DB00321;DB00540;DB00656;DB00726,Non-Viral_Metazoa,0
11,9913,Bovine (bovin),0,0,NA,NA,Non-Viral_Metazoa,0
12,9615,dog (canlf),1,1,DB11455;DB14059;DB14060,DB11455;DB14059;DB14060,Non-Viral_Metazoa,0
15,7227,Fruit fly (drome),0,0,NA,NA,Non-Viral_Metazoa,0
18,9823,Pig (pig),0,0,NA,NA,Non-Viral_Metazoa,0
19,9986,Rabbit (rabit),0,0,NA,NA,Non-Viral_Metazoa,0
26,9031,Chicken (chick),0,0,NA,NA,Non-Viral_Metazoa,0
29,9598,Chimpanzee (pantr),0,0,NA,NA,Non-Viral_Metazoa,0
30,8844,Western graylag goose (ansan),0,0,NA,NA,Non-Viral_Metazoa,0
35,7787,Pacific electric ray (tetcf),0,0,NA,NA,Non-Viral_Metazoa,0
37,10030,Long-tailed hamster (crilo),0,0,NA,NA,Non-Viral_Metazoa,0
41,9534,Chlorocebus aethiops (chlae),0,0,NA,NA,Non-Viral_Metazoa,0
42,10144,Guinea pig (cavcu),0,0,NA,NA,Non-Viral_Metazoa,0
46,7955,Zebrafish (danre),0,0,NA,NA,Non-Viral_Metazoa,0
48,10036,Golden hamster (mesau),0,0,NA,NA,Non-Viral_Metazoa,0
52,9556,Papio cynocephalus (papcy),0,0,NA,NA,Non-Viral_Metazoa,0
58,6421,Hirudo medicinalis (medicinal leech),0,0,NA,NA,Non-Viral_Metazoa,0
60,9544,Rhesus macaque (macmu),0,0,NA,NA,Non-Viral_Metazoa,0
62,6253,ascsu (ascsu),1,1,DB00518,DB00518,Non-Viral_Metazoa,0
63,8618,Dendroaspis angusticeps (denan),0,0,NA,NA,Non-Viral_Metazoa,0
66,9796,Horse (horse),0,0,NA,NA,Non-Viral_Metazoa,0
68,9103,Common turkey (melga),0,0,NA,NA,Non-Viral_Metazoa,0
74,8616,Bungarus multicinctus (bunmu),0,0,NA,NA,Non-Viral_Metazoa,0
75,8022,Rainbow trout (oncmy),0,0,NA,NA,Non-Viral_Metazoa,0
77,452646,Mustela vison (musvi),0,0,NA,NA,Non-Viral_Metazoa,0
90,118974,Feather leg baboon tarantula (strgf),0,0,NA,NA,Non-Viral_Metazoa,0
96,9685,Cat (felca),0,0,NA,NA,Non-Viral_Metazoa,0
136,30591,Southern owl monkey (aotaz),0,0,NA,NA,Non-Viral_Metazoa,0
137,9267,Didelphis virginiana (north american oposs),0,0,NA,NA,Non-Viral_Metazoa,0
139,10029,Chinese hamster (crigr),0,0,NA,NA,Non-Viral_Metazoa,0
166,8364,Western clawed frog (xentr),0,0,NA,NA,Non-Viral_Metazoa,0
167,190110,Parabuthus schlechteri (scorpion),0,0,NA,NA,Non-Viral_Metazoa,0
174,7719,cioin (cioin),0,0,NA,NA,Non-Viral_Metazoa,0
177,6183,Blood fluke (schma),1,1,DB02379;DB04224;DB04557,DB02379;DB04224;DB04557,Non-Viral_Metazoa,0
