eid	GMid	SYS	weightFC.BB	weightFC.BP	weightFC.B15	BAvg	weightFC.P	weightR.M	weight	weight.HPA4s	Inode
6288	6288	P0DJI8	0	0	0	0	1	0	0	0	0.35
6289	6289	P0DJI9	0	0	0	0	0.982802646183548	0	0	0	0.343980926164242
260436	260436	FDCSP	1	0	0.751370952982499	0.583790317660833	0	0	0	0	0.233516127064333
1401	1401	P02741	0	0	0	0	0.658957054846182	0	0	0	0.230634969196164
9509	9509	ADAMTS2	0	1	0.680474983774297	0.560158327924766	0	0	0	0	0.224063331169906
8338	8338	Q16777	0.279788838612368	0	0	0.0932629462041226	0.460873215238513	0	0	0	0.198610803815129
7123	7123	P05452	0	0	1	0.333333333333333	0.154631724369687	0	0	0	0.187454436862724
3020	3020	P84243	0	0	0	0	0.475161143893972	0	0	0	0.16630640036289
6036	6036	RNASE2	0	0.5126953125	0.723898739867855	0.412198017455952	0	0	0	0	0.164879206982381
2316	2316	P21333	0.143665158371041	0	0	0.0478883861236803	0.404971741464688	0	0	0	0.160895463962113
285590	285590	SH3PXD2B	0	0.4482421875	0.683265823009005	0.377169336836335	0	0	0	0	0.150867734734534
7148	7148	P22105	0	0	0.765201212764236	0.255067070921412	0.118022582914622	0	0	0	0.143334732388682
8407	8407	P37802	0	0	0	0	0.409248332989507	0	0	0	0.143236916546327
2108	2108	ETFA	0	0	0.698686035653067	0.232895345217689	0	0	1	0	0.143158138087076
9470	9470	EIF4E2	0	0	0.679227679644279	0.226409226548093	0	0	1	0	0.140563690619237
1178	1178	CLC	0	0.5703125	0.465091033335486	0.345134511111829	0	0	0	0	0.138053804444731
1956	1956	EGFR	0.283559577677225	0	0	0.0945198592257417	0	1	0	0	0.137807943690297
8294	8294	P62805	0	0	0	0	0.390063695037883	0	0	0	0.136522293263259
3240	3240	P00738	0	0	0	0	0.387790730439111	0	0	0	0.135726755653689
3929	3929	P18428	0	0	0	0	0.384344779214406	0	0	0	0.134520672725042
22844	22844	Q5SYB0	0	0	0	0	0.381030195050724	0	0	0	0.133360568267753
3872	3872	KRT17	0.326168929110106	0	0.669064415729436	0.331744448279847	0	0	0	0	0.132697779311939
3347	3347	HTN3	0.992835595776772	0	0	0.330945198592257	0	0	0	0	0.132378079436903
6236	6236	RRAD	0	0	0.932305216700617	0.310768405566872	0	0	0	0	0.124307362226749
735	735	P02748	0	0	0	0	0.351521312082546	0	0	0	0.123032459228891
3936	3936	P13796	0	0.4296875	0	0.143229166666667	0.174085250906698	0	0	0	0.118221504484011
58189	58189	WFDC1	0	0.884765625	0	0.294921875	0	0	0	0	0.11796875
12	12	P01011	0	0	0	0	0.33660487285806	0	0	0	0.117811705500321
5004	5004	P02763	0	0	0	0	0.334647185053596	0	0	0	0.117126514768759
3627	3627	CXCL10	0	0.46484375	0.411515229919457	0.292119659973152	0	0	0	0	0.116847863989261
7079	7079	TIMP4	0	0.85546875	0	0.28515625	0	0	0	0	0.1140625
6525	6525	SMTN	0	0	0.840134857572962	0.280044952524321	0	0	0	0	0.112017981009728
27106	27106	ARRDC2	0	0	0.839317622007906	0.279772540669302	0	0	0	0	0.111909016267721
